origin_year,method,validation_year,horizon,county_fips,county_name,projected,actual,error,pct_error
2005,sdc_2024,2006,1,38001,Adams,2367.9,2366.0,1.9,0.08
2005,sdc_2024,2006,1,38003,Barnes,11040.1,11106.0,-65.9,-0.5931
2005,sdc_2024,2006,1,38005,Benson,6696.2,6709.0,-12.8,-0.1914
2005,sdc_2024,2006,1,38007,Billings,761.8,741.0,20.8,2.8081
2005,sdc_2024,2006,1,38009,Bottineau,6548.6,6526.0,22.6,0.3464
2005,sdc_2024,2006,1,38011,Bowman,3000.5,3020.0,-19.5,-0.6443
2005,sdc_2024,2006,1,38013,Burke,2019.1,1975.0,44.1,2.234
2005,sdc_2024,2006,1,38015,Burleigh,75016.8,75940.0,-923.2,-1.2158
2005,sdc_2024,2006,1,38017,Cass,135810.3,138340.0,-2529.7,-1.8286
2005,sdc_2024,2006,1,38019,Cavalier,4280.3,4202.0,78.3,1.8642
2005,sdc_2024,2006,1,38021,Dickey,5426.2,5419.0,7.2,0.1336
2005,sdc_2024,2006,1,38023,Divide,2078.4,2083.0,-4.6,-0.2225
2005,sdc_2024,2006,1,38025,Dunn,3394.0,3432.0,-38.0,-1.1068
2005,sdc_2024,2006,1,38027,Eddy,2572.7,2529.0,43.7,1.7279
2005,sdc_2024,2006,1,38029,Emmons,3716.9,3748.0,-31.1,-0.8308
2005,sdc_2024,2006,1,38031,Foster,3519.3,3565.0,-45.7,-1.281
2005,sdc_2024,2006,1,38033,Golden Valley,1664.6,1670.0,-5.4,-0.3261
2005,sdc_2024,2006,1,38035,Grand Forks,65405.3,67096.0,-1690.7,-2.5198
2005,sdc_2024,2006,1,38037,Grant,2549.4,2519.0,30.4,1.2085
2005,sdc_2024,2006,1,38039,Griggs,2472.5,2457.0,15.5,0.6309
2005,sdc_2024,2006,1,38041,Hettinger,2587.9,2577.0,10.9,0.4239
2005,sdc_2024,2006,1,38043,Kidder,2450.2,2509.0,-58.8,-2.3421
2005,sdc_2024,2006,1,38045,LaMoure,4384.9,4357.0,27.9,0.6404
2005,sdc_2024,2006,1,38047,Logan,2022.7,2018.0,4.7,0.2331
2005,sdc_2024,2006,1,38049,McHenry,5482.8,5507.0,-24.2,-0.4399
2005,sdc_2024,2006,1,38051,McIntosh,3080.5,3080.0,0.5,0.0159
2005,sdc_2024,2006,1,38053,McKenzie,5719.4,5727.0,-7.6,-0.1324
2005,sdc_2024,2006,1,38055,McLean,8703.0,8767.0,-64.0,-0.7299
2005,sdc_2024,2006,1,38057,Mercer,8326.3,8309.0,17.3,0.2084
2005,sdc_2024,2006,1,38059,Morton,25585.3,25910.0,-324.7,-1.2532
2005,sdc_2024,2006,1,38061,Mountrail,6876.3,6826.0,50.3,0.7368
2005,sdc_2024,2006,1,38063,Nelson,3318.4,3271.0,47.4,1.4476
2005,sdc_2024,2006,1,38065,Oliver,1881.6,1863.0,18.6,0.9998
2005,sdc_2024,2006,1,38067,Pembina,7763.7,7786.0,-22.3,-0.2866
2005,sdc_2024,2006,1,38069,Pierce,4335.8,4394.0,-58.2,-1.3253
2005,sdc_2024,2006,1,38071,Ramsey,11169.4,11298.0,-128.6,-1.1382
2005,sdc_2024,2006,1,38073,Ransom,5730.3,5720.0,10.3,0.1803
2005,sdc_2024,2006,1,38075,Renville,2499.3,2499.0,0.3,0.0122
2005,sdc_2024,2006,1,38077,Richland,17059.2,16869.0,190.2,1.1276
2005,sdc_2024,2006,1,38079,Rolette,13581.3,13625.0,-43.7,-0.3205
2005,sdc_2024,2006,1,38081,Sargent,4036.4,4115.0,-78.6,-1.9095
2005,sdc_2024,2006,1,38083,Sheridan,1443.8,1435.0,8.8,0.6115
2005,sdc_2024,2006,1,38085,Sioux,4071.3,4148.0,-76.7,-1.8503
2005,sdc_2024,2006,1,38087,Slope,731.0,744.0,-13.0,-1.7495
2005,sdc_2024,2006,1,38089,Stark,22676.5,22770.0,-93.5,-0.4106
2005,sdc_2024,2006,1,38091,Steele,2042.0,2026.0,16.0,0.7902
2005,sdc_2024,2006,1,38093,Stutsman,20925.9,21115.0,-189.1,-0.8955
2005,sdc_2024,2006,1,38095,Towner,2401.0,2408.0,-7.0,-0.2924
2005,sdc_2024,2006,1,38097,Traill,8250.9,8249.0,1.9,0.0234
2005,sdc_2024,2006,1,38099,Walsh,11455.3,11501.0,-45.7,-0.3976
2005,sdc_2024,2006,1,38101,Ward,57173.3,58030.0,-856.7,-1.4764
2005,sdc_2024,2006,1,38103,Wells,4441.5,4404.0,37.5,0.8507
2005,sdc_2024,2006,1,38105,Williams,19873.3,20122.0,-248.7,-1.2359
2005,m2026,2006,1,38001,Adams,2370.9,2366.0,4.9,0.2054
2005,m2026,2006,1,38003,Barnes,11043.3,11106.0,-62.7,-0.5647
2005,m2026,2006,1,38005,Benson,6704.4,6709.0,-4.6,-0.0693
2005,m2026,2006,1,38007,Billings,759.0,741.0,18.0,2.427
2005,m2026,2006,1,38009,Bottineau,6561.8,6526.0,35.8,0.549
2005,m2026,2006,1,38011,Bowman,3002.5,3020.0,-17.5,-0.5793
2005,m2026,2006,1,38013,Burke,2015.9,1975.0,40.9,2.0722
2005,m2026,2006,1,38015,Burleigh,74732.7,75940.0,-1207.3,-1.5898
2005,m2026,2006,1,38017,Cass,135026.9,138340.0,-3313.1,-2.3949
2005,m2026,2006,1,38019,Cavalier,4287.5,4202.0,85.5,2.035
2005,m2026,2006,1,38021,Dickey,5425.9,5419.0,6.9,0.1267
2005,m2026,2006,1,38023,Divide,2079.5,2083.0,-3.5,-0.1673
2005,m2026,2006,1,38025,Dunn,3378.1,3432.0,-53.9,-1.5701
2005,m2026,2006,1,38027,Eddy,2575.4,2529.0,46.4,1.8349
2005,m2026,2006,1,38029,Emmons,3724.8,3748.0,-23.2,-0.6193
2005,m2026,2006,1,38031,Foster,3521.1,3565.0,-43.9,-1.2307
2005,m2026,2006,1,38033,Golden Valley,1669.3,1670.0,-0.7,-0.0425
