origin_year,method,validation_year,horizon,projected_state,actual_state,error,pct_error,abs_pct_error
2005,sdc_2024,2006,1,642421.0,649422.0,-7001.0,-1.078,1.078
2005,m2026,2006,1,640897.0,649422.0,-8525.0,-1.3127,1.3127
2005,sdc_2024,2007,2,638754.0,652822.0,-14068.0,-2.155,2.155
2005,m2026,2007,2,635906.0,652822.0,-16916.0,-2.5912,2.5912
2005,sdc_2024,2008,3,635086.0,657569.0,-22483.0,-3.4191,3.4191
2005,m2026,2008,3,631135.0,657569.0,-26434.0,-4.02,4.02
2005,sdc_2024,2009,4,631419.0,664968.0,-33549.0,-5.0453,5.0453
2005,m2026,2009,4,626576.0,664968.0,-38392.0,-5.7736,5.7736
2005,sdc_2024,2010,5,627751.0,672591.0,-44840.0,-6.6668,6.6668
2005,m2026,2010,5,622206.0,672591.0,-50385.0,-7.4912,7.4912
2005,sdc_2024,2011,6,625361.0,674715.0,-49354.0,-7.3148,7.3148
2005,m2026,2011,6,617995.0,674715.0,-56720.0,-8.4066,8.4066
2005,sdc_2024,2012,7,622971.0,685225.0,-62254.0,-9.0853,9.0853
2005,m2026,2012,7,613909.0,685225.0,-71316.0,-10.4077,10.4077
2005,sdc_2024,2013,8,620580.0,701176.0,-80596.0,-11.4943,11.4943
2005,m2026,2013,8,609915.0,701176.0,-91261.0,-13.0154,13.0154
2005,sdc_2024,2014,9,618190.0,722036.0,-103846.0,-14.3823,14.3823
2005,m2026,2014,9,605979.0,722036.0,-116057.0,-16.0735,16.0735
2005,sdc_2024,2015,10,615800.0,737401.0,-121601.0,-16.4905,16.4905
2005,m2026,2015,10,602073.0,737401.0,-135328.0,-18.3521,18.3521
2005,sdc_2024,2016,11,613715.0,754066.0,-140351.0,-18.6126,18.6126
2005,m2026,2016,11,598168.0,754066.0,-155898.0,-20.6743,20.6743
2005,sdc_2024,2017,12,611630.0,754434.0,-142804.0,-18.9287,18.9287
2005,m2026,2017,12,594244.0,754434.0,-160190.0,-21.2331,21.2331
2005,sdc_2024,2018,13,609544.0,754942.0,-145398.0,-19.2595,19.2595
2005,m2026,2018,13,590281.0,754942.0,-164661.0,-21.811,21.811
2005,sdc_2024,2019,14,607459.0,758080.0,-150621.0,-19.8688,19.8688
2005,m2026,2019,14,586264.0,758080.0,-171816.0,-22.6646,22.6646
2005,sdc_2024,2020,15,605374.0,779046.0,-173672.0,-22.293,22.293
2005,m2026,2020,15,582181.0,779046.0,-196865.0,-25.2701,25.2701
2005,sdc_2024,2021,16,602319.0,777966.0,-175647.0,-22.5777,22.5777
2005,m2026,2021,16,578023.0,777966.0,-199943.0,-25.7008,25.7008
2005,sdc_2024,2022,17,599265.0,781057.0,-181792.0,-23.2751,23.2751
2005,m2026,2022,17,573785.0,781057.0,-207272.0,-26.5374,26.5374
2005,sdc_2024,2023,18,596211.0,789047.0,-192836.0,-24.4391,24.4391
2005,m2026,2023,18,569463.0,789047.0,-219584.0,-27.829,27.829
2005,sdc_2024,2024,19,593157.0,796568.0,-203411.0,-25.5359,25.5359
2005,m2026,2024,19,565059.0,796568.0,-231509.0,-29.0633,29.0633
2010,sdc_2024,2011,1,671924.0,674715.0,-2791.0,-0.4136,0.4136
2010,m2026,2011,1,670810.0,674715.0,-3905.0,-0.5787,0.5787
2010,sdc_2024,2012,2,671258.0,685225.0,-13967.0,-2.0384,2.0384
2010,m2026,2012,2,669320.0,685225.0,-15905.0,-2.3211,2.3211
2010,sdc_2024,2013,3,670591.0,701176.0,-30585.0,-4.362,4.362
2010,m2026,2013,3,668058.0,701176.0,-33118.0,-4.7232,4.7232
2010,sdc_2024,2014,4,669924.0,722036.0,-52112.0,-7.2173,7.2173
2010,m2026,2014,4,666958.0,722036.0,-55078.0,-7.6282,7.6282
2010,sdc_2024,2015,5,669258.0,737401.0,-68143.0,-9.241,9.241
2010,m2026,2015,5,665952.0,737401.0,-71449.0,-9.6893,9.6893
2010,sdc_2024,2016,6,669419.0,754066.0,-84647.0,-11.2254,11.2254
2010,m2026,2016,6,663968.0,754066.0,-90098.0,-11.9482,11.9482
2010,sdc_2024,2017,7,669580.0,754434.0,-84854.0,-11.2473,11.2473
2010,m2026,2017,7,661976.0,754434.0,-92458.0,-12.2552,12.2552
2010,sdc_2024,2018,8,669742.0,754942.0,-85200.0,-11.2857,11.2857
2010,m2026,2018,8,659929.0,754942.0,-95013.0,-12.5854,12.5854
