county_fips,county_name,method,category,mape,mean_signed_error,median_abs_error,std_error,worst_case_error,worst_case_abs_error,n_validations,bias_direction,grade
38057,Mercer,m2026,Rural,2.7,0.53,2.33,3.49,7.29,7.29,46,over,A
38097,Traill,m2026,Rural,2.85,-2.83,2.32,2.23,-8.5,8.5,46,under,A
38051,McIntosh,m2026,Rural,3.23,-1.46,2.51,4.03,-10.13,10.13,46,under,B
38021,Dickey,m2026,Rural,3.74,-3.53,2.63,3.6,-12.96,12.96,46,under,B
38091,Steele,m2026,Rural,3.89,-2.92,3.17,3.9,-10.59,10.59,46,under,B
38073,Ransom,m2026,Rural,4.5,-3.36,3.18,5.22,-15.0,15.0,46,under,B
38003,Barnes,m2026,Rural,4.61,-3.89,2.56,5.24,-16.77,16.77,46,under,B
38027,Eddy,m2026,Rural,4.69,-3.83,3.5,5.09,-17.0,17.0,46,under,B
38039,Griggs,m2026,Rural,4.73,-4.53,5.24,4.27,-13.4,13.4,46,under,B
38075,Renville,m2026,Rural,5.15,0.02,4.28,6.8,16.59,16.59,46,over,B
38001,Adams,m2026,Rural,5.18,-1.86,4.35,6.25,12.93,12.93,46,under,B
38067,Pembina,m2026,Rural,5.27,-5.24,4.32,4.59,-16.5,16.5,46,under,B
38093,Stutsman,m2026,Rural,5.33,-5.19,3.43,5.08,-17.44,17.44,46,under,B
38099,Walsh,m2026,Rural,5.39,-5.39,4.36,5.0,-16.39,16.39,46,under,B
38077,Richland,m2026,Rural,5.62,-5.29,4.05,5.48,-17.28,17.28,46,under,B
38045,LaMoure,m2026,Rural,5.63,-5.43,4.11,5.1,-15.65,15.65,46,under,B
38005,Benson,m2026,Reservation,5.78,0.84,5.41,7.57,17.98,17.98,46,over,B
38037,Grant,m2026,Rural,5.85,-5.58,3.01,5.45,-16.3,16.3,46,under,B
38087,Slope,m2026,Rural,5.88,2.47,4.62,8.05,25.98,25.98,46,over,B
38063,Nelson,m2026,Rural,5.91,-5.58,4.34,5.63,-18.29,18.29,46,under,B
38031,Foster,m2026,Rural,6.07,-5.57,4.8,5.77,-17.14,17.14,46,under,B
38069,Pierce,m2026,Rural,6.27,-3.07,4.09,7.53,-14.68,14.68,46,under,B
38043,Kidder,m2026,Rural,6.67,-6.39,3.42,7.13,-22.17,22.17,46,under,B
38019,Cavalier,m2026,Rural,6.69,-6.33,4.34,6.11,-20.0,20.0,46,under,B
38065,Oliver,m2026,Rural,6.79,-6.73,4.7,6.2,-20.92,20.92,46,under,B
38081,Sargent,m2026,Rural,7.0,-5.94,5.75,6.96,-16.63,16.63,46,under,B
38085,Sioux,m2026,Reservation,7.31,1.23,5.36,9.87,26.62,26.62,46,over,C
38015,Burleigh,m2026,Urban/College,7.4,-7.35,6.07,6.52,-20.99,20.99,46,under,C
38009,Bottineau,m2026,Rural,7.51,-5.34,7.49,7.33,-18.86,18.86,46,under,C
38071,Ramsey,m2026,Rural,7.71,-7.55,4.93,8.39,-26.49,26.49,46,under,C
