method,n_observations,total_variance,mean_error_pct,bias_squared,random_std,horizon_slope,horizon_intercept,horizon_r2,geographic_variance,geographic_std,ss_total,ss_county,ss_horizon,ss_residual,frac_bias,frac_county,frac_horizon,frac_residual,horizon,std_error_pct,median_error_pct,mae_pct,rmse_pct
sdc_2024,2438,121.3166,-7.0540,49.7596,11.0144,-1.1583,1.7591,0.2735,34.7942,5.8987,295648.5103,83227.8355,83291.1059,129129.5689,0.4102,0.2815,0.2817,0.4368,,,,,
sdc_2024,212,,-0.3666,,,,,,,,,,,,,,,,1.0000,1.7893,-0.4228,1.1516,1.8223
sdc_2024,212,,-0.7731,,,,,,,,,,,,,,,,2.0000,2.5934,-0.7955,1.9425,2.7003
sdc_2024,212,,-1.4990,,,,,,,,,,,,,,,,3.0000,4.0274,-1.4119,3.0823,4.2884
sdc_2024,212,,-2.4338,,,,,,,,,,,,,,,,4.0000,5.2993,-2.1854,4.2414,5.8201
sdc_2024,159,,-4.2134,,,,,,,,,,,,,,,,5.0000,7.5821,-4.7005,6.6901,8.6533
sdc_2024,159,,-4.7361,,,,,,,,,,,,,,,,6.0000,8.8073,-5.4343,7.6701,9.9755
sdc_2024,159,,-5.2821,,,,,,,,,,,,,,,,7.0000,9.3633,-6.0116,8.5522,10.7248
sdc_2024,159,,-6.1597,,,,,,,,,,,,,,,,8.0000,10.1302,-6.9262,9.5749,11.8286
sdc_2024,159,,-7.0978,,,,,,,,,,,,,,,,9.0000,11.1191,-7.5888,10.6081,13.1619
sdc_2024,106,,-12.2204,,,,,,,,,,,,,,,,10.0000,10.2909,-11.5283,13.0934,15.9450
sdc_2024,106,,-12.8918,,,,,,,,,,,,,,,,11.0000,11.1460,-12.2691,14.1062,17.0076
sdc_2024,106,,-13.2528,,,,,,,,,,,,,,,,12.0000,11.3321,-13.2521,14.6855,17.4023
sdc_2024,106,,-13.6862,,,,,,,,,,,,,,,,13.0000,11.7386,-13.7739,15.2811,17.9946
sdc_2024,106,,-14.3229,,,,,,,,,,,,,,,,14.0000,12.2816,-14.6145,15.9814,18.8298
sdc_2024,53,,-16.7593,,,,,,,,,,,,,,,,15.0000,13.9749,-15.8803,18.3967,21.7367
sdc_2024,53,,-16.8987,,,,,,,,,,,,,,,,16.0000,14.6435,-17.0878,19.0520,22.2700
sdc_2024,53,,-17.5225,,,,,,,,,,,,,,,,17.0000,15.3361,-17.1548,19.8984,23.1905
sdc_2024,53,,-18.4117,,,,,,,,,,,,,,,,18.0000,16.1508,-18.6517,21.0163,24.3910
sdc_2024,53,,-19.3886,,,,,,,,,,,,,,,,19.0000,16.9395,-18.5716,22.0939,25.6408
m2026,2438,136.8331,-6.1553,37.8876,11.6976,-1.0808,2.0685,0.2111,38.3642,6.1939,333462.3372,91767.2352,74507.3195,167187.7824,0.2769,0.2752,0.2234,0.5014,,,,,
m2026,212,,-0.3100,,,,,,,,,,,,,,,,1.0000,1.8122,-0.3083,1.1294,1.8343
m2026,212,,-0.6081,,,,,,,,,,,,,,,,2.0000,2.6948,-0.6975,1.9522,2.7563
m2026,212,,-1.1768,,,,,,,,,,,,,,,,3.0000,4.3036,-1.0866,3.1245,4.4518
m2026,212,,-1.9118,,,,,,,,,,,,,,,,4.0000,5.7683,-1.7267,4.3089,6.0640
m2026,159,,-3.0809,,,,,,,,,,,,,,,,5.0000,8.4203,-3.4551,6.5788,8.9414
m2026,159,,-3.5216,,,,,,,,,,,,,,,,6.0000,9.7721,-4.1429,7.6166,10.3584
m2026,159,,-3.9529,,,,,,,,,,,,,,,,7.0000,10.5041,-5.0756,8.4628,11.1923
m2026,159,,-4.6843,,,,,,,,,,,,,,,,8.0000,11.4813,-5.7102,9.4776,12.3667
m2026,159,,-5.4522,,,,,,,,,,,,,,,,9.0000,12.6492,-6.1785,10.5574,13.7376
m2026,106,,-11.4529,,,,,,,,,,,,,,,,10.0000,10.7804,-9.8600,12.5510,15.6937
m2026,106,,-12.0759,,,,,,,,,,,,,,,,11.0000,11.6683,-10.6496,13.5559,16.7538
m2026,106,,-12.3726,,,,,,,,,,,,,,,,12.0000,11.9192,-11.1777,14.1412,17.1409
m2026,106,,-12.7266,,,,,,,,,,,,,,,,13.0000,12.4141,-11.7264,14.6857,17.7376
m2026,106,,-13.2716,,,,,,,,,,,,,,,,14.0000,13.0776,-12.6003,15.3448,18.5888
m2026,53,,-15.5732,,,,,,,,,,,,,,,,15.0000,15.2216,-14.3990,17.6990,21.6761
m2026,53,,-15.5489,,,,,,,,,,,,,,,,16.0000,16.2325,-14.6872,18.3813,22.3672
m2026,53,,-15.9887,,,,,,,,,,,,,,,,17.0000,17.3581,-15.5382,19.2440,23.4789
m2026,53,,-16.6837,,,,,,,,,,,,,,,,18.0000,18.6553,-16.0874,20.3487,24.8957
m2026,53,,-17.4472,,,,,,,,,,,,,,,,19.0000,20.0481,-16.7652,21.5094,26.4338
