origin_year,method,validation_year,horizon,county_fips,county_name,projected,actual,error,pct_error,category,z_score,horizon_mean_error,horizon_std_error
2020,m2026,2021,1,38053,McKenzie,15134.7,13855.0,1279.7,9.2361,Bakken,5.267803827055171,-0.3099943396226415,1.8121582832288456
2020,m2026,2021,1,38105,Williams,41977.4,38506.0,3471.4,9.0152,Bakken,5.145904982983776,-0.3099943396226415,1.8121582832288456
2020,m2026,2021,1,38085,Sioux,3882.0,3750.0,132.0,3.5194,Reservation,2.113167693497253,-0.3099943396226415,1.8121582832288456
2015,m2026,2016,1,38061,Mountrail,9856.1,10311.0,-454.9,-4.4115,Bakken,-2.2633263872896507,-0.3099943396226415,1.8121582832288456
2015,m2026,2016,1,38105,Williams,32607.7,35301.0,-2693.3,-7.6295,Bakken,-4.039109457555605,-0.3099943396226415,1.8121582832288456
2015,m2026,2016,1,38053,McKenzie,11184.8,12794.0,-1609.2,-12.5776,Bakken,-6.769610455064297,-0.3099943396226415,1.8121582832288456
2020,m2026,2022,2,38105,Williams,43025.3,38012.0,5013.3,13.1887,Bakken,5.119837857183259,-0.6081283018867927,2.694778367351908
2020,m2026,2022,2,38053,McKenzie,15573.9,13905.0,1668.9,12.0023,Bakken,4.679579016466111,-0.6081283018867927,2.694778367351908
2020,m2026,2022,2,38061,Mountrail,9912.4,9255.0,657.4,7.103,Bakken,2.861507423137112,-0.6081283018867927,2.694778367351908
2015,m2026,2017,2,38023,Divide,2544.2,2391.0,153.2,6.406,Rural,2.602859065096104,-0.6081283018867927,2.694778367351908
2015,m2026,2017,2,38013,Burke,2359.1,2227.0,132.1,5.9322,Rural,2.427037555713278,-0.6081283018867927,2.694778367351908
2020,m2026,2022,2,38089,Stark,34473.6,32762.0,1711.6,5.2242,Bakken,2.1643072293244203,-0.6081283018867927,2.694778367351908
2010,m2026,2012,2,38013,Burke,1938.1,2062.0,-123.9,-6.0091,Rural,-2.004235956302636,-0.6081283018867927,2.694778367351908
2010,m2026,2012,2,38105,Williams,22676.1,24406.0,-1729.9,-7.088,Bakken,-2.4046028336203458,-0.6081283018867927,2.694778367351908
2020,m2026,2022,2,38007,Billings,945.1,1022.0,-76.9,-7.5228,Rural,-2.5659519097698875,-0.6081283018867927,2.694778367351908
2010,m2026,2012,2,38007,Billings,778.3,844.0,-65.7,-7.7824,Rural,-2.662286362779135,-0.6081283018867927,2.694778367351908
2010,m2026,2012,2,38053,McKenzie,6433.6,7011.0,-577.4,-8.2356,Bakken,-2.830463458710534,-0.6081283018867927,2.694778367351908
2015,m2026,2017,2,38053,McKenzie,11393.8,12572.0,-1178.2,-9.3718,Bakken,-3.252093680240223,-0.6081283018867927,2.694778367351908
2015,m2026,2018,3,38023,Divide,2611.1,2295.0,316.1,13.7729,Rural,3.4737900016073,-1.176813679245283,4.303574387722962
2015,m2026,2018,3,38013,Burke,2415.8,2128.0,287.8,13.5264,Rural,3.4165120326930865,-1.176813679245283,4.303574387722962
2020,m2026,2023,3,38053,McKenzie,16025.0,14282.0,1743.0,12.2044,Bakken,3.1093255219239593,-1.176813679245283,4.303574387722962
2020,m2026,2023,3,38105,Williams,44094.6,39304.0,4790.6,12.1886,Bakken,3.1056541551537986,-1.176813679245283,4.303574387722962
2015,m2026,2018,3,38041,Hettinger,2722.2,2479.0,243.2,9.809,Rural,2.5527184357693695,-1.176813679245283,4.303574387722962
2015,m2026,2018,3,38033,Golden Valley,1947.7,1779.0,168.7,9.4819,Rural,2.4767118490276285,-1.176813679245283,4.303574387722962
2010,m2026,2013,3,38061,Mountrail,7835.8,8739.0,-903.2,-10.3358,Bakken,-2.128227723188206,-1.176813679245283,4.303574387722962
2010,m2026,2013,3,38025,Dunn,3512.1,3958.0,-445.9,-11.2653,Bakken,-2.344210977166953,-1.176813679245283,4.303574387722962
2010,m2026,2013,3,38013,Burke,1924.4,2182.0,-257.6,-11.8068,Rural,-2.4700366167898595,-1.176813679245283,4.303574387722962
2010,m2026,2013,3,38105,Williams,22816.5,26735.0,-3918.5,-14.6567,Bakken,-3.1322535888329273,-1.176813679245283,4.303574387722962
2010,m2026,2013,3,38007,Billings,775.4,919.0,-143.6,-15.628,Rural,-3.357949699203618,-1.176813679245283,4.303574387722962
2010,m2026,2013,3,38053,McKenzie,6471.4,7978.0,-1506.6,-18.8842,Bakken,-4.11457656483632,-1.176813679245283,4.303574387722962
2015,m2026,2019,4,38023,Divide,2684.0,2264.0,420.0,18.5497,Rural,3.547208120681861,-1.9117721698113206,5.768331452138795
2015,m2026,2019,4,38013,Burke,2477.7,2094.0,383.7,18.3233,Rural,3.5079593358506673,-1.9117721698113206,5.768331452138795
2015,m2026,2019,4,38033,Golden Valley,1984.8,1763.0,221.8,12.5791,Rural,2.512142773009059,-1.9117721698113206,5.768331452138795
2020,m2026,2024,4,38053,McKenzie,16488.4,14782.0,1706.4,11.5437,Bakken,2.33264545934202,-1.9117721698113206,5.768331452138795
2020,m2026,2024,4,38105,Williams,45185.7,40763.0,4422.7,10.8497,Bakken,2.2123333715644224,-1.9117721698113206,5.768331452138795
2015,m2026,2019,4,38075,Renville,2609.7,2358.0,251.7,10.6754,Rural,2.1821166613344007,-1.9117721698113206,5.768331452138795
2015,m2026,2019,4,38041,Hettinger,2763.2,2503.0,260.2,10.3954,Rural,2.1335757613664934,-1.9117721698113206,5.768331452138795
2010,m2026,2014,4,38007,Billings,772.1,912.0,-139.9,-15.3367,Rural,-2.327350281719847,-1.9117721698113206,5.768331452138795
2010,m2026,2014,4,38025,Dunn,3503.0,4140.0,-637.0,-15.3875,Bakken,-2.3361569878568815,-1.9117721698113206,5.768331452138795
2010,m2026,2014,4,38061,Mountrail,7891.0,9340.0,-1449.0,-15.5141,Bakken,-2.3581044090566565,-1.9117721698113206,5.768331452138795
2010,m2026,2014,4,38013,Burke,1911.3,2305.0,-393.7,-17.0784,Rural,-2.6292920155559303,-1.9117721698113206,5.768331452138795
2010,m2026,2014,4,38105,Williams,22956.6,29591.0,-6634.4,-22.4205,Bakken,-3.5554003788364845,-1.9117721698113206,5.768331452138795
2010,m2026,2014,4,38053,McKenzie,6509.6,9278.0,-2768.4,-29.8385,Bakken,-4.841387507271959,-1.9117721698113206,5.768331452138795
2015,m2026,2020,5,38023,Divide,2762.9,2195.0,567.9,25.8744,Rural,3.4387437751363796,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38079,Rolette,15043.6,12194.0,2849.6,23.3688,Reservation,3.1411777928907614,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38049,McHenry,6443.7,5336.0,1107.7,20.7589,Rural,2.8312251040885426,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38085,Sioux,4586.8,3897.0,689.8,17.6999,Reservation,2.4679371332674434,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38033,Golden Valley,2024.4,1729.0,295.4,17.0843,Rural,2.394828249698477,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38013,Burke,2544.6,2195.0,349.6,15.9292,Rural,2.257648146692445,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38005,Benson,6830.4,5960.0,870.4,14.604,Reservation,2.1002669048055145,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38087,Slope,810.0,707.0,103.0,14.5628,Rural,2.0953739775751026,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38075,Renville,2622.5,2290.0,332.5,14.5216,Rural,2.090481050344691,-3.0809138364779876,8.42031733967432
2010,m2026,2015,5,38025,Dunn,3493.4,4375.0,-881.6,-20.1514,Bakken,-2.027297247229671,-3.0809138364779876,8.42031733967432
2010,m2026,2015,5,38105,Williams,23095.4,32106.0,-9010.6,-28.0653,Bakken,-2.9671549367625567,-3.0809138364779876,8.42031733967432
2010,m2026,2015,5,38053,McKenzie,6547.9,10979.0,-4431.1,-40.3599,Bakken,-4.427266177709626,-3.0809138364779876,8.42031733967432
2015,m2026,2021,6,38023,Divide,2830.8,2182.0,648.8,29.732,Rural,3.4028971499067313,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38079,Rolette,15073.5,12074.0,2999.5,24.843,Reservation,2.9025972148570083,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38049,McHenry,6517.1,5224.0,1293.1,24.7523,Rural,2.8933157249594816,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38085,Sioux,4602.4,3750.0,852.4,22.7304,Reservation,2.686411155788478,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38013,Burke,2597.9,2152.0,445.9,20.7217,Rural,2.480857365742583,-3.5215805031446537,9.772137986614167
