method,parameter,perturbation_level,origin_year,state_pct_error,county_mape,projected_state,actual_state
sdc_2024,migration_rate,-50%,2015,-3.5,7.3894,768688.0,796568.0
sdc_2024,migration_rate,-50%,2020,-0.2197,2.4419,794818.0,796568.0
sdc_2024,migration_rate,-25%,2015,-4.0405,7.9063,764382.0,796568.0
sdc_2024,migration_rate,-25%,2020,-0.436,2.5448,793095.0,796568.0
sdc_2024,migration_rate,-10%,2015,-4.2691,8.3143,762562.0,796568.0
sdc_2024,migration_rate,-10%,2020,-0.5301,2.6643,792345.0,796568.0
sdc_2024,migration_rate,baseline,2015,-4.3826,8.6011,761658.0,796568.0
sdc_2024,migration_rate,baseline,2020,-0.5784,2.7515,791961.0,796568.0
sdc_2024,migration_rate,+10%,2015,-4.4654,8.8909,760998.0,796568.0
sdc_2024,migration_rate,+10%,2020,-0.6153,2.8402,791667.0,796568.0
sdc_2024,migration_rate,+25%,2015,-4.5331,9.3683,760459.0,796568.0
sdc_2024,migration_rate,+25%,2020,-0.6496,2.9964,791394.0,796568.0
sdc_2024,migration_rate,+50%,2015,-4.497,10.2984,760746.0,796568.0
sdc_2024,migration_rate,+50%,2020,-0.652,3.2742,791374.0,796568.0
sdc_2024,fertility_rate,-25%,2015,-7.1575,9.0908,739553.0,796568.0
sdc_2024,fertility_rate,-25%,2020,-1.8564,2.9607,781781.0,796568.0
sdc_2024,fertility_rate,-10%,2015,-5.4926,8.7402,752816.0,796568.0
sdc_2024,fertility_rate,-10%,2020,-1.0896,2.8068,787889.0,796568.0
sdc_2024,fertility_rate,baseline,2015,-4.3826,8.6011,761658.0,796568.0
sdc_2024,fertility_rate,baseline,2020,-0.5784,2.7515,791961.0,796568.0
sdc_2024,fertility_rate,+10%,2015,-3.2726,8.5142,770499.0,796568.0
sdc_2024,fertility_rate,+10%,2020,-0.0672,2.7282,796033.0,796568.0
sdc_2024,fertility_rate,+25%,2015,-1.6076,8.5561,783762.0,796568.0
sdc_2024,fertility_rate,+25%,2020,0.6996,2.7751,802141.0,796568.0
sdc_2024,survival_rate,-5% q (fewer deaths),2015,-4.1726,8.5491,763330.0,796568.0
sdc_2024,survival_rate,-5% q (fewer deaths),2020,-0.4671,2.7176,792847.0,796568.0
sdc_2024,survival_rate,-1% q (fewer deaths),2015,-4.3407,8.5908,761991.0,796568.0
sdc_2024,survival_rate,-1% q (fewer deaths),2020,-0.5561,2.7445,792138.0,796568.0
sdc_2024,survival_rate,baseline,2015,-4.3826,8.6011,761658.0,796568.0
sdc_2024,survival_rate,baseline,2020,-0.5784,2.7515,791961.0,796568.0
sdc_2024,survival_rate,+1% q (more deaths),2015,-4.4244,8.6115,761325.0,796568.0
sdc_2024,survival_rate,+1% q (more deaths),2020,-0.6006,2.7586,791783.0,796568.0
