origin_year,method,validation_year,horizon,projected_state,actual_state,error,pct_error,abs_pct_error
2005,sdc_2024,2010,5,627751.0,672591.0,-44840.0,-6.6668,6.6668
2005,m2026,2010,5,622206.0,672591.0,-50385.0,-7.4912,7.4912
2005,sdc_2024,2015,10,615800.0,737401.0,-121601.0,-16.4904,16.4904
2005,m2026,2015,10,602073.0,737401.0,-135328.0,-18.3521,18.3521
2005,sdc_2024,2020,15,605373.0,779046.0,-173673.0,-22.293,22.293
2005,m2026,2020,15,582180.0,779046.0,-196866.0,-25.2701,25.2701
2005,sdc_2024,2024,19,593157.0,796568.0,-203411.0,-25.536,25.536
2005,m2026,2024,19,565059.0,796568.0,-231509.0,-29.0633,29.0633
2010,sdc_2024,2015,5,669258.0,737401.0,-68143.0,-9.241,9.241
2010,m2026,2015,5,665952.0,737401.0,-71449.0,-9.6892,9.6892
2010,sdc_2024,2020,10,670064.0,779046.0,-108982.0,-13.9892,13.9892
2010,m2026,2020,10,655530.0,779046.0,-123516.0,-15.8548,15.8548
2010,sdc_2024,2024,14,667170.0,796568.0,-129398.0,-16.2445,16.2445
2010,m2026,2024,14,644956.0,796568.0,-151612.0,-19.0331,19.0331
2015,sdc_2024,2020,5,749196.0,779046.0,-29850.0,-3.8316,3.8316
2015,m2026,2020,5,758132.0,779046.0,-20914.0,-2.6846,2.6846
2015,sdc_2024,2024,9,761658.0,796568.0,-34910.0,-4.3826,4.3826
2015,m2026,2024,9,770629.0,796568.0,-25939.0,-3.2563,3.2563
2020,sdc_2024,2024,4,791960.0,796568.0,-4608.0,-0.5784,0.5784
2020,m2026,2024,4,794025.0,796568.0,-2543.0,-0.3193,0.3193
