category,horizon,method,origin_year,mean_signed_pct_error,median_signed_pct_error,std_pct_error,n_counties,n_obs
Bakken,1,m2026,all,-0.504615,-0.2847,4.8798828400814145,5,20
Bakken,1,sdc_2024,all,-0.44693000000000005,-0.19535000000000002,4.757680331300339,5,20
Bakken,2,m2026,all,-0.69784,-2.62545,6.077232457502865,5,20
Bakken,2,sdc_2024,all,-0.605135,-1.9839,5.78070040222545,5,20
Bakken,3,m2026,all,-2.542765,-3.05695,8.314196952978746,5,20
Bakken,3,sdc_2024,all,-2.43558,-2.89735,7.939441970553691,5,20
Bakken,4,m2026,all,-5.477874999999998,-5.55025,10.790332007763393,5,20
Bakken,4,sdc_2024,all,-5.368095000000001,-5.18595,10.449592936341437,5,20
Bakken,5,m2026,all,-12.94634,-11.3658,12.43804730200272,5,15
Bakken,5,sdc_2024,all,-12.704333333333333,-10.945,12.406344690788929,5,15
Bakken,6,m2026,all,-13.372206666666665,-10.3858,15.592674332311434,5,15
Bakken,6,sdc_2024,all,-13.022146666666668,-10.5985,15.534523402035253,5,15
Bakken,7,m2026,all,-13.68112,-15.6606,15.670055690583874,5,15
Bakken,7,sdc_2024,all,-13.232080000000002,-13.3143,15.60340180506436,5,15
Bakken,8,m2026,all,-15.932720000000002,-18.4102,15.795052326246251,5,15
Bakken,8,sdc_2024,all,-15.403566666666665,-17.7399,15.740993080110773,5,15
Bakken,9,m2026,all,-18.742926666666666,-20.633,17.67159034057072,5,15
Bakken,9,sdc_2024,all,-18.14379333333334,-19.639,17.680792669305085,5,15
Bakken,10,m2026,all,-32.0775,-28.6959,12.7621204053245,5,10
Bakken,10,sdc_2024,all,-31.42278,-26.6966,12.992992741713596,5,10
Bakken,11,m2026,all,-33.20902,-32.463449999999995,13.723206353861572,5,10
Bakken,11,sdc_2024,all,-32.48249,-30.150550000000003,14.027851369127537,5,10
Bakken,12,m2026,all,-31.79237,-30.275599999999997,14.069879487365911,5,10
Bakken,12,sdc_2024,all,-30.981319999999993,-28.20715,14.416220802030221,5,10
Bakken,13,m2026,all,-32.00436,-29.30195,13.923009341869228,5,10
Bakken,13,sdc_2024,all,-31.125989999999994,-27.4824,14.308538108218233,5,10
Bakken,14,m2026,all,-33.2736,-30.9249,14.924316755029173,5,10
Bakken,14,sdc_2024,all,-32.35154000000001,-27.73695,15.251727983572513,5,10
Bakken,15,m2026,all,-38.4478,-34.9015,16.2985981935564,5,5
Bakken,15,sdc_2024,all,-37.92396,-32.06,16.041660202516447,5,5
