origin_year,method,validation_year,horizon,county_fips,projected,actual,error,pct_error
2005,sdc_2024,2010,5,38001,2219.5,2343.0,-123.5,-5.2727
2005,m2026,2010,5,38001,2246.3,2343.0,-96.7,-4.1251
2005,sdc_2024,2015,10,38001,2070.2,2388.0,-317.8,-13.3099
2005,m2026,2015,10,38001,2122.6,2388.0,-265.4,-11.115
2005,sdc_2024,2020,15,38001,1960.4,2194.0,-233.6,-10.6473
2005,m2026,2020,15,38001,2025.8,2194.0,-168.2,-7.6663
2005,sdc_2024,2024,19,38001,1884.7,2141.0,-256.3,-11.9722
2005,m2026,2024,19,38001,1958.2,2141.0,-182.8,-8.5397
2005,sdc_2024,2010,5,38003,10516.7,11066.0,-549.3,-4.9642
2005,m2026,2010,5,38003,10558.3,11066.0,-507.7,-4.5883
2005,sdc_2024,2015,10,38003,9938.9,11062.0,-1123.1,-10.1526
2005,m2026,2015,10,38003,9998.1,11062.0,-1063.9,-9.618
2005,sdc_2024,2020,15,38003,9366.8,10840.0,-1473.2,-13.59
2005,m2026,2020,15,38003,9445.9,10840.0,-1394.1,-12.8604
2005,sdc_2024,2024,19,38003,8871.7,10798.0,-1926.3,-17.8398
2005,m2026,2024,19,38003,8987.7,10798.0,-1810.3,-16.7652
2005,sdc_2024,2010,5,38005,6500.8,6660.0,-159.2,-2.3905
2005,m2026,2010,5,38005,6538.9,6660.0,-121.1,-1.8181
2005,sdc_2024,2015,10,38005,6296.6,6885.0,-588.4,-8.5455
2005,m2026,2015,10,38005,6349.2,6885.0,-535.8,-7.7821
2005,sdc_2024,2020,15,38005,6147.0,5960.0,187.0,3.1369
2005,m2026,2020,15,38005,6172.7,5960.0,212.7,3.5695
2005,sdc_2024,2024,19,38005,6026.8,5756.0,270.8,4.7053
2005,m2026,2024,19,38005,6026.4,5756.0,270.4,4.6979
2005,sdc_2024,2010,5,38007,717.0,783.0,-66.0,-8.4238
2005,m2026,2010,5,38007,717.7,783.0,-65.3,-8.3419
2005,sdc_2024,2015,10,38007,684.2,920.0,-235.8,-25.6267
2005,m2026,2015,10,38007,683.3,920.0,-236.7,-25.7309
2005,sdc_2024,2020,15,38007,652.4,947.0,-294.6,-31.1111
2005,m2026,2020,15,38007,651.8,947.0,-295.2,-31.1699
2005,sdc_2024,2024,19,38007,607.2,1063.0,-455.8,-42.8787
2005,m2026,2024,19,38007,623.5,1063.0,-439.5,-41.3432
2005,sdc_2024,2010,5,38009,6143.0,6429.0,-286.0,-4.4484
2005,m2026,2010,5,38009,6222.0,6429.0,-207.0,-3.2198
2005,sdc_2024,2015,10,38009,5725.9,6684.0,-958.1,-14.3348
2005,m2026,2015,10,38009,5839.6,6684.0,-844.4,-12.6327
2005,sdc_2024,2020,15,38009,5377.2,6370.0,-992.8,-15.5853
2005,m2026,2020,15,38009,5479.3,6370.0,-890.7,-13.9834
2005,sdc_2024,2024,19,38009,5078.8,6391.0,-1312.2,-20.5318
2005,m2026,2024,19,38009,5185.7,6391.0,-1205.3,-18.8597
2005,sdc_2024,2010,5,38011,2818.7,3151.0,-332.3,-10.5455
2005,m2026,2010,5,38011,2834.8,3151.0,-316.2,-10.035
2005,sdc_2024,2015,10,38011,2613.7,3238.0,-624.3,-19.2806
2005,m2026,2015,10,38011,2643.9,3238.0,-594.1,-18.347
2005,sdc_2024,2020,15,38011,2433.2,2993.0,-559.8,-18.7042
2005,m2026,2020,15,38011,2464.3,2993.0,-528.7,-17.6635
