horizon,method,n_origins,mean_state_ape,mean_county_mape,mean_county_rmse,mean_state_mpe,mean_county_mpe
4,sdc_2024,1,0.5784,2.7513,1381.5,-0.5784,-0.186
5,sdc_2024,3,6.5798,6.6902,2379.9,-6.5798,-4.2135
9,sdc_2024,1,4.3826,8.6014,3252.0,-4.3826,1.3193
10,sdc_2024,2,15.2398,13.0934,5121.9,-15.2398,-12.2204
14,sdc_2024,1,16.2445,14.3594,6377.8,-16.2445,-12.316
15,sdc_2024,1,22.293,18.3968,7896.9,-22.293,-16.7593
19,sdc_2024,1,25.536,22.0941,9779.4,-25.536,-19.3889
4,m2026,1,0.3193,2.8245,1483.2,-0.3193,-0.5384
5,m2026,3,6.6217,6.5788,2660.1,-6.6217,-3.0808
9,m2026,1,3.2563,9.7146,3652.8,-3.2563,4.9207
10,m2026,2,17.1034,12.551,6268.4,-17.1034,-11.453
14,m2026,1,19.0331,13.8282,8278.8,-19.0331,-11.241
15,m2026,1,25.2701,17.6992,9778.8,-25.2701,-15.5733
19,m2026,1,29.0633,21.5092,12248.4,-29.0633,-17.4472
