level,geography,fips,method,year,horizon,projected,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
state,North Dakota,38,sdc_2024,2025,0,799358.00,799358.00,799358.00,799358.00,799358.00,799358.00,799358.00
state,North Dakota,38,sdc_2024,2026,1,799790.52,789530.81,798416.88,786582.46,801898.61,785599.68,803059.18
state,North Dakota,38,sdc_2024,2027,2,801112.56,784549.15,792445.32,784128.81,800382.10,783988.69,803027.70
state,North Dakota,38,sdc_2024,2028,3,803206.60,773850.80,794776.54,770442.76,799642.29,769306.74,801264.20
state,North Dakota,38,sdc_2024,2029,4,806088.09,761041.47,795956.16,753162.76,799237.87,750536.53,800331.77
state,North Dakota,38,sdc_2024,2030,5,809856.59,745441.41,767345.60,739187.21,774233.92,737102.48,776530.02
state,North Dakota,38,sdc_2024,2031,6,813487.50,738076.40,770322.23,728532.73,780126.06,725351.50,783394.00
state,North Dakota,38,sdc_2024,2032,7,817137.34,734064.70,766610.47,728764.75,780837.97,726998.10,785580.47
state,North Dakota,38,sdc_2024,2033,8,820865.37,727368.80,758677.84,726855.11,776949.56,726683.87,783040.14
state,North Dakota,38,sdc_2024,2034,9,824674.29,717409.31,758641.79,710604.02,776575.98,708335.59,782554.05
state,North Dakota,38,sdc_2024,2035,10,828536.17,697087.66,707450.17,693978.91,710558.92,692942.66,711595.17
state,North Dakota,38,sdc_2024,2036,11,832388.87,687135.97,706488.60,681330.18,712294.38,679394.92,714229.65
state,North Dakota,38,sdc_2024,2037,12,836296.68,687473.50,706427.33,681787.35,712113.48,679891.97,714008.86
state,North Dakota,38,sdc_2024,2038,13,840245.64,686621.64,703027.85,681699.77,707949.72,680059.15,709590.34
state,North Dakota,38,sdc_2024,2039,14,844228.61,684139.86,699438.55,679550.25,704028.15,678020.38,705558.02
state,North Dakota,38,sdc_2024,2040,15,848251.80,659151.02,659151.02,659151.02,659151.02,659151.02,659151.02
state,North Dakota,38,sdc_2024,2041,16,852067.01,659689.87,659689.87,659689.87,659689.87,659689.87,659689.87
state,North Dakota,38,sdc_2024,2042,17,855649.96,656496.58,656496.58,656496.58,656496.58,656496.58,656496.58
state,North Dakota,38,sdc_2024,2043,18,859009.14,649075.04,649075.04,649075.04,649075.04,649075.04,649075.04
state,North Dakota,38,sdc_2024,2044,19,862161.05,642000.47,642000.47,642000.47,642000.47,642000.47,642000.47
state,North Dakota,38,sdc_2024,2045,20,865136.74,597976.57,649062.11,574987.29,672051.40,561229.12,685809.56
state,North Dakota,38,sdc_2024,2046,21,868235.04,586795.34,639090.75,563261.59,662624.49,549177.59,676708.50
state,North Dakota,38,sdc_2024,2047,22,869637.43,574413.20,627792.98,550391.47,651814.71,536015.43,666190.75
state,North Dakota,38,sdc_2024,2048,23,871157.40,562077.27,616525.32,537574.80,641027.79,522911.05,655691.53
state,North Dakota,38,sdc_2024,2049,24,872777.25,549770.15,605271.34,524793.75,630247.74,509846.38,645195.10
state,North Dakota,38,sdc_2024,2050,25,874472.65,537471.55,594010.99,512027.92,619454.61,496800.93,634681.60
state,North Dakota,38,sdc_2024,2051,26,876145.74,525118.69,582676.64,499216.72,608578.62,483715.43,624079.91
state,North Dakota,38,sdc_2024,2052,27,877772.36,512697.88,571254.13,486346.66,597605.36,470576.51,613375.51
state,North Dakota,38,sdc_2024,2053,28,879328.48,500197.03,559730.69,473405.96,586521.76,457372.58,602555.14
state,North Dakota,38,sdc_2024,2054,29,880791.85,487606.55,548095.98,460385.37,575317.16,444094.59,591607.95
state,North Dakota,38,sdc_2024,2055,30,882146.47,474921.62,536344.70,447280.28,563986.05,430738.04,580528.28
county,Adams County,38001,sdc_2024,2025,0,2275.00,2275.00,2275.00,2275.00,2275.00,2275.00,2275.00
county,Adams County,38001,sdc_2024,2026,1,2271.20,2244.81,2276.80,2230.12,2296.72,2222.68,2322.53
county,Adams County,38001,sdc_2024,2027,2,2268.09,2220.02,2273.03,2195.87,2320.00,2175.25,2338.60
county,Adams County,38001,sdc_2024,2028,3,2263.74,2192.40,2272.05,2144.99,2326.60,2070.59,2367.78
county,Adams County,38001,sdc_2024,2029,4,2257.56,2145.63,2265.73,2085.69,2332.55,2000.54,2380.53
county,Adams County,38001,sdc_2024,2030,5,2249.45,2094.13,2207.63,1989.58,2358.05,1885.89,2481.51
county,Adams County,38001,sdc_2024,2031,6,2240.97,2061.47,2192.67,1979.06,2382.05,1870.25,2533.38
county,Adams County,38001,sdc_2024,2032,7,2231.93,2023.92,2178.60,1903.13,2378.38,1830.95,2567.62
county,Adams County,38001,sdc_2024,2033,8,2222.34,1982.25,2161.03,1855.00,2376.98,1794.92,2541.74
county,Adams County,38001,sdc_2024,2034,9,2212.24,1934.87,2145.16,1791.58,2343.74,1714.56,2544.61
county,Adams County,38001,sdc_2024,2035,10,2201.73,1848.77,2045.33,1651.06,2181.48,1596.83,2281.44
county,Adams County,38001,sdc_2024,2036,11,2190.86,1829.90,2021.68,1609.08,2164.08,1513.04,2316.68
county,Adams County,38001,sdc_2024,2037,12,2179.84,1798.41,2006.10,1611.38,2167.69,1520.83,2299.67
county,Adams County,38001,sdc_2024,2038,13,2168.82,1768.24,1998.38,1601.31,2136.82,1492.74,2288.11
county,Adams County,38001,sdc_2024,2039,14,2157.88,1722.88,1974.88,1590.37,2125.04,1442.17,2269.70
county,Adams County,38001,sdc_2024,2040,15,2147.08,1669.06,1904.43,1482.48,2116.34,1429.06,2171.89
county,Adams County,38001,sdc_2024,2041,16,2136.46,1646.38,1856.59,1472.04,2109.31,1381.80,2193.72
county,Adams County,38001,sdc_2024,2042,17,2125.99,1602.93,1837.92,1442.07,2096.68,1301.28,2202.42
county,Adams County,38001,sdc_2024,2043,18,2115.71,1572.24,1816.82,1392.85,2038.25,1252.76,2201.47
county,Adams County,38001,sdc_2024,2044,19,2105.72,1544.86,1791.16,1347.92,2019.43,1191.26,2163.44
county,Adams County,38001,sdc_2024,2045,20,2096.18,1393.37,1900.73,1165.04,2129.06,1028.40,2265.70
county,Adams County,38001,sdc_2024,2046,21,2086.86,1353.61,1877.71,1117.75,2113.56,976.60,2254.71
county,Adams County,38001,sdc_2024,2047,22,2072.70,1311.19,1850.37,1068.55,2093.02,923.34,2238.23
county,Adams County,38001,sdc_2024,2048,23,2058.90,1269.56,1823.46,1020.29,2072.73,871.11,2221.91
county,Adams County,38001,sdc_2024,2049,24,2045.33,1228.59,1796.85,972.87,2052.57,819.83,2205.61
county,Adams County,38001,sdc_2024,2050,25,2031.83,1188.20,1770.40,926.20,2032.40,769.40,2189.20
county,Adams County,38001,sdc_2024,2051,26,2018.30,1148.30,1744.04,880.20,2012.13,719.76,2172.57
county,Adams County,38001,sdc_2024,2052,27,2004.63,1108.83,1717.66,834.84,1991.65,670.87,2155.62
county,Adams County,38001,sdc_2024,2053,28,1990.76,1069.76,1691.25,790.08,1970.93,622.71,2138.30
county,Adams County,38001,sdc_2024,2054,29,1976.67,1031.09,1664.77,745.92,1949.94,575.26,2120.60
county,Adams County,38001,sdc_2024,2055,30,1962.34,992.81,1638.24,702.36,1928.69,528.53,2102.51
