place_fips,MAPE,MedAPE,ME,MaxAPE,n_test_years,AE_terminal,place_name,window,variant_id
3800100,1.7011328800134262,1.5394349682851933,1.1082432609941208,4.307207591510499,10,5.932992234714561,Abercrombie city,primary,A-I
3800340,20.34618674129814,20.58517574662382,-20.34618674129814,29.866174094453484,10,36.43673239523325,Adams city,primary,A-I
3800940,30.567359636148076,31.570625996814343,30.567359636148076,39.26807022818306,10,13.45876606696416,Alamo city,primary,A-I
3801180,32.430504880393045,33.59497005057928,32.430504880393045,43.27095081193457,10,70.34402253410258,Alexander city,primary,A-I
3801420,100.0,100.0,-100.0,100.0,10,44.0,Alice city,primary,A-I
3801700,35.91735256309848,39.62088143086076,35.91735256309848,47.236568514527136,10,45.62739748545212,Almont city,primary,A-I
3801740,22.71270379897701,21.925148035073825,-22.71270379897701,37.33028926647107,10,11.199086779941322,Alsen city,primary,A-I
3801860,42.59448983233894,45.603155249108156,42.59448983233894,58.71361645002592,10,8.807042467503887,Ambrose city,primary,A-I
3801940,100.0,100.0,-100.0,100.0,10,87.0,Amenia city,primary,A-I
3802060,17.39566109723102,18.88075931074883,-17.39566109723102,22.665953064258158,10,4.909686777237042,Amidon city,primary,A-I
3802220,6.2230144664628435,5.334962457356957,-6.2230144664628435,13.020518742861325,10,28.124320484580466,Anamoose city,primary,A-I
3802380,7.795164715403108,7.091026765708947,-7.795164715403108,11.503877464470403,10,16.501967721595122,Aneta city,primary,A-I
3802660,15.567370434645209,13.325885744247621,-15.567370434645209,31.30113631050222,10,6.886249988310489,Antler city,primary,A-I
3802860,105.12763245223678,124.51738743799324,105.12763245223678,158.13297390603248,10,50.60255164993039,Ardoch city,primary,A-I
3803020,95.02797185779734,88.57964432653841,95.02797185779734,168.0034329862387,10,801.3763753443586,Argusville city,primary,A-I
3803220,8.129065812635098,6.526537565115625,8.129065812635098,22.672016181334126,10,10.494435943877477,Arnegard city,primary,A-I
3803300,7.867679679627673,7.830862370798668,-7.867679679627673,12.878361426411525,10,41.854674635837455,Arthur city,primary,A-I
3803540,6.6303696791159386,6.522771142533067,6.6303696791159386,9.761372081092908,10,40.27991283563017,Ashley city,primary,A-I
3804020,100.0,100.0,-100.0,100.0,10,12.0,Ayr city,primary,A-I
3804460,61.402690006194085,66.35204337502182,61.402690006194085,94.22643778402076,10,14.133965667603114,Balfour city,primary,A-I
3804580,5.090017033733429,6.175927322483762,-5.090017033733429,7.761423172462998,10,4.889696598651689,Balta city,primary,A-I
3804740,31.98289380662892,29.963667082591765,31.98289380662892,53.03906459604164,5,,Bantry city,primary,A-I
3804940,3.92588193052325,4.1235878768100935,2.531594822761367,5.381514266994581,10,2.3585555731706904,Barney city,primary,A-I
3805260,5.553068169800864,5.773383825177076,4.75181529894657,10.569533245151714,10,4.380798669897828,Bathgate city,primary,A-I
3805420,7.736893748915906,8.045053761684493,7.736893748915906,11.253476674991603,10,111.74702338266661,Beach city,primary,A-I
3805820,4.364806374858007,3.7071272980007905,4.364806374858007,7.656260906918693,10,45.06070295016252,Belfield city,primary,A-I
3805980,22.46222520077,24.248036832479883,22.46222520077,34.677469410216865,10,22.887129810743133,Benedict city,primary,A-I
3806180,69.5964642628091,75.76446029156241,-69.5964642628091,100.0,10,11.0,Bergen city,primary,A-I
3806300,12.596726734906877,12.230667930821632,12.596726734906877,21.722005505534426,10,6.951041761771016,Berlin city,primary,A-I
3806460,2.1206877130372854,2.803604226730607,2.0548699417536396,3.204031096094251,10,13.239556212827779,Berthold city,primary,A-I
3806660,3.154859886905524,3.150600909784214,3.154859886905524,5.11658936515388,10,155.90247795623873,Beulah city,primary,A-I
3807020,4.803104112695353,4.96431006163537,4.803104112695353,8.136248655869174,10,13.09936033594937,Binford city,primary,A-I
3807180,2.8281653540037373,2.9867124723505523,2.8281653540037373,5.650124168017678,10,2.4014205873415904,Bisbee city,primary,A-I
3807200,4.519685055356745,4.482809714524895,-4.519685055356745,6.505512096356274,10,5059.466867578201,Bismarck city,primary,A-I
3808460,2.8958211184935263,2.77451276380269,2.8958211184935263,5.216260320620512,10,113.09421669902804,Bottineau city,primary,A-I
3808500,10.76499542151292,10.804154308384218,10.76499542151292,14.452734397427225,10,29.2654164514056,Bowbells city,primary,A-I
3808580,1.7080331867779595,1.9874864930715708,-0.019470549048205797,3.59496494735215,10,4.127968490378635,Bowdon city,primary,A-I
3808700,4.326872795194937,4.7033724668399355,4.326872795194937,5.277410059372533,10,65.52224851247297,Bowman city,primary,A-I
3808900,11.611604920657806,10.964881163346114,-11.611604920657806,19.802218027324734,10,3.168354884371958,Braddock city,primary,A-I
3809320,100.0,100.0,-100.0,100.0,10,54.0,Briarwood city,primary,A-I
3809460,19.35390153094824,19.325054179805843,19.35390153094824,27.581987546855068,10,6.020755687157553,Brinsmade city,primary,A-I
3809700,30.912222414396673,33.60226497818474,30.912222414396673,41.59712935852976,10,11.535821441559584,Brocket city,primary,A-I
3810060,23.64293937505973,26.173860521396488,23.64293937505973,41.36995719563666,10,35.16446361629116,Buchanan city,primary,A-I
3810300,44.3388245883916,50.142379087320805,44.3388245883916,56.556973068834495,10,8.043491857465536,Bucyrus city,primary,A-I
3810420,50.62979728612511,51.29943911527132,-50.62979728612511,100.0,10,189.0,Buffalo city,primary,A-I
3810940,17.068536173971104,18.149069581433665,-17.068536173971104,25.629761885279084,10,341.901023549623,Burlington city,primary,A-I
3811180,12.88419868946174,12.155454189495103,-12.88419868946174,21.06235408536864,10,15.16489494146542,Butte city,primary,A-I
3811340,6.263152991083581,6.770857386113687,-6.263152991083581,8.481492423793235,10,29.939668255990114,Buxton city,primary,A-I
3811580,128.02906960445443,156.43314408553425,128.02906960445443,183.04927615546836,10,9.216954397061329,Calio city,primary,A-I
3811700,14.030702492932068,11.268576492600495,14.030702492932068,32.21038413146711,10,0.8586386956064569,Calvin city,primary,A-I
3811860,1.2364016107634903,1.0327261804859311,-1.2364016107634903,2.509402897231449,10,2.3228285342941035,Cando city,primary,A-I
3812060,2.786675122124237,1.7511191478580137,-1.9167011757014663,7.106640604152004,10,2.274124993328641,Canton City (Hensel) city,primary,A-I
3812260,11.455018758246144,11.921091959137916,11.455018758246144,12.501572276866261,10,16.431642931317782,Carpio city,primary,A-I
3812340,3.321985449070028,3.2294305207149776,1.6946517515408623,5.839249736070293,10,117.89445217125922,Carrington city,primary,A-I
3812460,11.697441546649895,12.072177197498686,11.697441546649895,17.27694706588086,10,42.32852031140811,Carson city,primary,A-I
3812700,14.070674221899996,13.458784579725734,14.070674221899996,22.64429354183455,10,562.937137450007,Casselton city,primary,A-I
3812820,39.94880816164789,45.029140680386035,39.94880816164789,64.51726528525818,10,10.516073476058207,Cathay city,primary,A-I
3812940,0.7237405054741396,0.7898284360822512,-0.7106065582363174,1.1946090404046599,10,5.646576291413112,Cavalier city,primary,A-I
3813020,48.49590480603809,51.26915998465151,-48.49590480603809,63.45662172131165,10,24.74808247131154,Cayuga city,primary,A-I
3813180,2.0037322061349387,2.013805584833822,0.006210545679413482,2.8543341116524212,10,13.489694967308537,Center city,primary,A-I
3814100,2.161112070383355,2.3104760506927953,2.161112070383355,5.126089329897755,10,7.637873101547655,Christine city,primary,A-I
3814140,100.0,100.0,-100.0,100.0,5,,Churchs Ferry city,primary,A-I
3814660,6.723112797406645,4.759248010543162,0.2169241374766429,20.13169222166323,10,14.293501477380893,Cleveland city,primary,A-I
3814740,11.580215579451957,10.632705641099815,11.580215579451957,17.706052293731673,10,2.319879893685254,Clifford city,primary,A-I
3815100,4.538524594063821,1.2330695442480442,-3.8014984650425303,15.367236288181466,10,10.603393038845212,Cogswell city,primary,A-I
3815140,6.6548261101589405,5.253232163347899,5.876603839673177,16.593071456667243,10,2.024789315052189,Coleharbor city,primary,A-I
3815180,3.7136348453079386,3.7662695146807037,-3.4888296807160986,5.750937338212368,10,12.01945903686385,Colfax city,primary,A-I
3815460,7.943465841943132,8.109288379787216,7.943465841943132,11.979521061667544,10,15.812967801401157,Columbus city,primary,A-I
3815820,39.797252787200094,41.43886843076659,39.797252787200094,57.241834990440445,10,5.708384684389884,Conway city,primary,A-I
3815900,1.6173114450352817,1.283699377370761,0.8608760655253722,3.3287733676974325,10,31.95622432989535,Cooperstown city,primary,A-I
3816380,1.8631928027162203,1.519769189159114,0.15983808771387337,4.632955132019789,10,0.7015342547333816,Courtenay city,primary,A-I
3816580,20.875519604432107,24.106703577380543,20.875519604432107,26.845755310720953,10,29.509977256677104,Crary city,primary,A-I
3816940,11.232096676701175,12.712447605897069,11.232096676701175,15.581410201822182,10,154.017248537182,Crosby city,primary,A-I
3817060,2.3934798672773288,2.674692208080586,2.3498756934241944,4.130775712758548,10,2.073202373973217,Crystal city,primary,A-I
3818180,1.7248640333918097,1.6556157016072326,-0.42977339248936997,3.3480950834896053,10,2.815024426190604,Davenport city,primary,A-I
3818260,13.359429172735137,13.976977967698037,-13.359429172735137,18.66434628462314,10,13.907745441453002,Dawson city,primary,A-I
