confidence_tier,place_count,tier_medape,tier_mean_me,tier_p90_mape,tier_max_mape,tier_population_2024,window,variant_id
EXCLUDED,267,11.417877796202513,-3.2364692093914353,45.4528273299803,128.02906960445443,36313.0,primary,A-I
HIGH,9,3.054219849013428,1.4062297577965515,6.777724357030336,6.82172553964962,457462.0,primary,A-I
LOWER,72,4.858019114988911,2.3104473949581266,13.447455515388672,24.34821081430525,80163.0,primary,A-I
MODERATE,9,3.154859886905524,-4.0397616611919664,17.73131240953834,25.205981273016185,48813.0,primary,A-I
EXCLUDED,267,11.059728173326798,9.269513548502756,43.58326690471688,1153.1771428571442,36313.0,primary,A-II
HIGH,9,3.038526827867002,1.0247309478844715,4.8611601327871945,6.669042579485483,457462.0,primary,A-II
LOWER,72,4.813705507095533,2.2835192866560337,13.168848861036004,24.898561648260394,80163.0,primary,A-II
MODERATE,9,3.171663080868045,-4.090272300728311,17.860679359589255,25.323379724250646,48813.0,primary,A-II
EXCLUDED,267,9.554152023322702,-4.818995707008306,38.16321764666127,103.78462561251085,36313.0,primary,B-I
HIGH,9,3.033411844527996,1.4087211415387184,6.025720944095184,7.467298426740084,457462.0,primary,B-I
LOWER,72,4.180899431065901,0.7617042101941023,11.125089924586613,19.425214322320166,80163.0,primary,B-I
MODERATE,9,1.9399364878077783,-4.290165382938069,17.97494843887963,24.51229726519616,48813.0,primary,B-I
EXCLUDED,267,9.308560275940952,-1.619601296826965,36.143633002399625,315.7421428571429,36313.0,primary,B-II
HIGH,9,3.002588249200702,1.106080569557265,4.314163861484023,7.372711573984191,457462.0,primary,B-II
LOWER,72,4.248953610360955,0.7759145572422921,11.049137130153726,19.352511469168412,80163.0,primary,B-II
MODERATE,9,1.8351213094178065,-4.280532295532804,17.78137641177561,24.660004866419783,48813.0,primary,B-II
EXCLUDED,265,7.344549834784355,-6.924992885634842,31.54972469085277,100.0,36313.0,secondary,A-I
HIGH,9,5.646553349615964,5.259384979974292,10.182844496135608,12.404286612060663,457462.0,secondary,A-I
LOWER,72,3.218758893900726,0.8953546518267975,9.505756492662224,16.493244397886674,80163.0,secondary,A-I
MODERATE,9,3.5866618056907895,-1.7620974135527199,14.708881770955692,30.137953304723897,48813.0,secondary,A-I
EXCLUDED,265,7.23827553504495,0.6030626419483456,31.622323631840292,685.1700000000001,36313.0,secondary,A-II
HIGH,9,5.610192631958424,5.005894127637102,7.702760929607737,12.322272901919508,457462.0,secondary,A-II
LOWER,72,3.207354543157446,0.8950929344169994,9.654515841006116,16.91681474552202,80163.0,secondary,A-II
MODERATE,9,3.555662720571798,-1.7948552450721549,14.289826032906118,29.6068792663492,48813.0,secondary,A-II
EXCLUDED,265,6.49034483427423,-7.941690011578461,22.407257755803993,100.0,36313.0,secondary,B-I
HIGH,9,5.839328049763614,5.462898762951477,9.066649373856762,12.307379259455978,457462.0,secondary,B-I
LOWER,72,2.6672464217437746,0.16433771923244345,10.025139833358626,16.71988463021394,80163.0,secondary,B-I
MODERATE,9,3.744047161005099,-1.0987329029983297,16.257872931619154,30.76858505421897,48813.0,secondary,B-I
EXCLUDED,265,6.317718426901068,-7.8708511744890375,21.515207474057696,100.0,36313.0,secondary,B-II
HIGH,9,5.7660164168123895,5.263532048932305,8.085342417479229,12.23863146331614,457462.0,secondary,B-II
LOWER,72,2.843838099870311,0.1748739234645231,9.979267659509425,16.348019690747893,80163.0,secondary,B-II
MODERATE,9,3.7228081288843784,-1.5264852890783982,14.64604765521175,30.33493751562428,48813.0,secondary,B-II
