scenario,geography_level,geography_fips,geography_name,region_id,region_name,year,total_population,population_under_18,population_working_age_18_64,population_65_plus,population_85_plus,male_population,female_population,sex_ratio,youth_dependency_ratio,elderly_dependency_ratio,total_dependency_ratio
baseline,county,38001,Adams County,R8,Dickinson,2025,2275.0,493.1999163216599,1245.6029184143576,536.1971652639825,84.3047750286228,1140.962353232869,1134.037646767131,100.6,0.4,0.43,0.83
baseline,county,38001,Adams County,R8,Dickinson,2026,2247.9221970621547,480.5956875844874,1232.0653533351765,535.2611561424907,88.07063659535712,1129.5585833694768,1118.363613692678,101.0,0.39,0.43,0.82
baseline,county,38001,Adams County,R8,Dickinson,2027,2226.5244443919314,470.16012026669915,1220.7466334462724,535.6176906789598,88.89855053485199,1121.0263947051137,1105.4980496868175,101.4,0.39,0.44,0.82
baseline,county,38001,Adams County,R8,Dickinson,2028,2208.9972156984345,461.62602086395106,1210.7794472749808,536.5917475595026,87.98866083008596,1114.695986154435,1094.3012295439992,101.9,0.38,0.44,0.82
baseline,county,38001,Adams County,R8,Dickinson,2029,2195.977930930122,455.06218548932446,1203.2188227919353,537.6969226488625,86.49344988863908,1110.6835503409825,1085.2943805891396,102.3,0.38,0.45,0.83
baseline,county,38001,Adams County,R8,Dickinson,2030,2184.5994304372452,448.74282291276756,1197.9438762086595,537.9127313158181,84.87119498552842,1107.3648262587544,1077.2346041784906,102.8,0.37,0.45,0.82
baseline,county,38001,Adams County,R8,Dickinson,2031,2175.271890801536,442.1584569083024,1196.9285855107028,536.1848483825306,84.60627330140235,1104.9832812056359,1070.2886095958997,103.2,0.37,0.45,0.82
baseline,county,38001,Adams County,R8,Dickinson,2032,2165.411272013207,434.9808170716875,1198.911786154272,531.5186687872476,84.79864570001058,1102.2083408914993,1063.202931121708,103.7,0.36,0.44,0.81
baseline,county,38001,Adams County,R8,Dickinson,2033,2155.0085185696867,427.4481044402941,1202.7924911086175,524.7679230207749,85.32095822904377,1099.0290290433306,1055.9794895263558,104.1,0.36,0.44,0.79
baseline,county,38001,Adams County,R8,Dickinson,2034,2144.118663545271,419.72470460164106,1207.3292351964474,517.0647237471827,85.9298615228169,1095.454180453739,1048.664483091532,104.5,0.35,0.43,0.78
baseline,county,38001,Adams County,R8,Dickinson,2035,2132.8376881575373,413.0897170497148,1210.5322603474751,509.2157107603471,86.49730612687777,1091.4951103173992,1041.342577840138,104.8,0.34,0.42,0.76
baseline,county,38001,Adams County,R8,Dickinson,2036,2121.1967491669343,407.2865329404547,1212.487403260896,501.4228129655838,87.60383107221082,1087.1336351239297,1034.0631140430046,105.1,0.34,0.41,0.75
baseline,county,38001,Adams County,R8,Dickinson,2037,2109.4096717272505,402.1033108230911,1213.5094318058452,493.79692909831425,88.67626407313425,1082.5776710669131,1026.8320006603376,105.4,0.33,0.41,0.74
baseline,county,38001,Adams County,R8,Dickinson,2038,2097.6206202893522,397.3279957754752,1214.0580575021133,486.2345670117637,89.69268701208762,1077.9842198079314,1019.6364004814208,105.7,0.33,0.4,0.73
baseline,county,38001,Adams County,R8,Dickinson,2039,2085.9131623043063,392.7426404873321,1214.6811039719016,478.48941784507264,90.65814217272954,1073.4814614747265,1012.4317008295798,106.0,0.32,0.39,0.72
baseline,county,38001,Adams County,R8,Dickinson,2040,2074.3439902657074,387.81132360109353,1216.0798538246913,470.4528128399226,91.57178081880035,1069.155705793197,1005.1882844725103,106.4,0.32,0.39,0.71
baseline,county,38001,Adams County,R8,Dickinson,2041,2062.984988598819,382.8638955133286,1218.0137271252343,462.1073659602563,92.44468065376522,1064.9744259494166,998.0105626494026,106.7,0.31,0.38,0.69
baseline,county,38001,Adams County,R8,Dickinson,2042,2051.7858973371344,378.07114063758075,1219.8375953424068,453.8771613571467,93.6198723479966,1060.8373819177884,990.9485154193459,107.1,0.31,0.37,0.68
baseline,county,38001,Adams County,R8,Dickinson,2043,2040.7953436410626,373.59614912667894,1220.9013618559559,446.2978326584278,94.91414586403117,1056.7095219817588,984.0858216593037,107.4,0.31,0.37,0.67
baseline,county,38001,Adams County,R8,Dickinson,2044,2030.117737301929,369.9004536605909,1220.0092202914873,440.2080633498508,96.16456994314744,1052.6122038970086,977.5055334049205,107.7,0.3,0.36,0.66
baseline,county,38001,Adams County,R8,Dickinson,2045,2019.8968194840627,366.5706956826073,1217.1290927830823,436.19703101837297,97.23689584393406,1048.6101151500613,971.2867043340011,108.0,0.3,0.36,0.66
baseline,county,38001,Adams County,R8,Dickinson,2046,2009.9793663519256,363.45268689856675,1212.0843438035806,434.4423356497782,98.51650939124887,1044.6577987157116,965.321567636214,108.2,0.3,0.36,0.66
baseline,county,38001,Adams County,R8,Dickinson,2047,2000.2609164183473,360.47203579264766,1203.3957301377861,436.39315048791366,99.8082795184166,1040.6827385447586,959.5781778735889,108.5,0.3,0.36,0.66
baseline,county,38001,Adams County,R8,Dickinson,2048,1990.6767602033578,357.5476353063317,1191.630480908738,441.4986439882882,100.83066143019015,1036.6514025944234,954.0253576089345,108.7,0.3,0.37,0.67
baseline,county,38001,Adams County,R8,Dickinson,2049,1981.1373078838506,354.5883844065321,1177.6753040936753,448.87361938364296,101.18569936274494,1032.4946832791802,948.6426246046701,108.8,0.3,0.38,0.68
baseline,county,38001,Adams County,R8,Dickinson,2050,1971.5472237356976,351.4869439674662,1162.462828262419,457.5974515058124,100.6688144775954,1028.1610780860456,943.3861456496519,109.0,0.3,0.39,0.7
baseline,county,38001,Adams County,R8,Dickinson,2051,1961.7749913679254,348.1012821982535,1146.46638482128,467.207324348392,99.37772846155498,1023.5901448544499,938.1848465134756,109.1,0.3,0.41,0.71
baseline,county,38001,Adams County,R8,Dickinson,2052,1951.7213553534068,344.3084198473783,1130.3356892660408,477.0772462399877,97.22154383095227,1018.7834032914732,932.9379520619336,109.2,0.3,0.42,0.73
baseline,county,38001,Adams County,R8,Dickinson,2053,1941.35043703327,340.07496534031145,1114.0869919180975,487.188479774861,94.64196182146702,1013.756815512126,927.593621521144,109.3,0.31,0.44,0.74
baseline,county,38001,Adams County,R8,Dickinson,2054,1930.6218263796584,335.40832602642115,1098.0625547478219,497.15094560541525,92.1375587266018,1008.5263285725675,922.0954978070909,109.4,0.31,0.45,0.76
baseline,county,38001,Adams County,R8,Dickinson,2055,1919.5135327527146,330.4091331267257,1082.4254142277427,506.678985398246,89.98800965244368,1003.1149039101264,916.398628842588,109.5,0.31,0.47,0.77
baseline,county,38003,Barnes County,R6,Jamestown,2025,10573.0,2140.8791631042786,5876.505908205223,2555.6149286904983,331.9361918873866,5474.49925912206,5098.50074087794,107.4,0.36,0.43,0.8
baseline,county,38003,Barnes County,R6,Jamestown,2026,10466.341597730298,2075.104858555664,5855.9068306453955,2535.329908529239,326.21949403564844,5442.964137897078,5023.37745983322,108.4,0.35,0.43,0.79
baseline,county,38003,Barnes County,R6,Jamestown,2027,10371.423515984185,2014.816794709542,5833.338862988014,2523.26785828663,313.2163949825798,5413.757226875872,4957.666289108314,109.2,0.35,0.43,0.78
baseline,county,38003,Barnes County,R6,Jamestown,2028,10288.004082178435,1965.6785728638433,5804.909616848815,2517.4158924657772,299.3344223951134,5386.692050326114,4901.312031852321,109.9,0.34,0.43,0.77
baseline,county,38003,Barnes County,R6,Jamestown,2029,10223.384357584951,1911.8000985173726,5793.291454592554,2518.292804475024,290.089834941427,5365.7975099217,4857.58684766325,110.5,0.33,0.43,0.76
baseline,county,38003,Barnes County,R6,Jamestown,2030,10167.225755628064,1871.5787907662886,5773.023444516155,2522.6235203456204,286.50754472627057,5345.84052310422,4821.385232523844,110.9,0.32,0.44,0.76
baseline,county,38003,Barnes County,R6,Jamestown,2031,10119.856026675996,1842.7765521037052,5753.864058848714,2523.2154157235773,288.07832083472505,5329.295138114379,4790.5608885616175,111.2,0.32,0.44,0.76
baseline,county,38003,Barnes County,R6,Jamestown,2032,10072.297930800407,1816.2696847172092,5738.391691063358,2517.6365550198398,294.8763851653255,5311.590772449142,4760.707158351265,111.6,0.32,0.44,0.76
baseline,county,38003,Barnes County,R6,Jamestown,2033,10025.387889917809,1788.066588798092,5731.237667322351,2506.083633797367,304.464277560214,5293.486990668208,4731.900899249601,111.9,0.31,0.44,0.75
baseline,county,38003,Barnes County,R6,Jamestown,2034,9979.2611636072,1759.0578379747926,5730.746448444819,2489.456877187588,313.7733753017547,5275.467786122451,4703.793377484749,112.2,0.31,0.43,0.74
baseline,county,38003,Barnes County,R6,Jamestown,2035,9933.619456146671,1725.9363610922298,5739.017423511635,2468.6656715428057,321.1885182986371,5257.767201400373,4675.852254746297,112.4,0.3,0.43,0.73
baseline,county,38003,Barnes County,R6,Jamestown,2036,9888.661814631008,1690.4803349398287,5753.926504772813,2444.254974918366,328.9736678484377,5240.735649798186,4647.926164832822,112.8,0.29,0.42,0.72
baseline,county,38003,Barnes County,R6,Jamestown,2037,9844.992177470243,1657.204484584107,5772.396076987829,2415.391615898309,335.5212282136582,5225.010821258258,4619.981356211986,113.1,0.29,0.42,0.71
baseline,county,38003,Barnes County,R6,Jamestown,2038,9802.369300658209,1628.5108728270338,5790.192563527855,2383.66586430332,341.29910956945224,5210.583278854916,4591.786021803293,113.5,0.28,0.41,0.69
baseline,county,38003,Barnes County,R6,Jamestown,2039,9760.819758528754,1604.0331509015732,5806.07440516728,2350.7122024599016,346.97248192429953,5197.275997420568,4563.543761108188,113.9,0.28,0.4,0.68
baseline,county,38003,Barnes County,R6,Jamestown,2040,9720.595754440099,1587.1191318572126,5815.529363965392,2317.9472586174948,352.7855693141597,5184.773821133372,4535.821933306727,114.3,0.27,0.4,0.67
baseline,county,38003,Barnes County,R6,Jamestown,2041,9678.705870807562,1576.3318682835104,5809.9523297447995,2292.4216727792514,359.04149867142286,5170.291477441396,4508.414393366165,114.7,0.27,0.39,0.67
baseline,county,38003,Barnes County,R6,Jamestown,2042,9634.917609209044,1570.5868882788911,5789.719814450278,2274.6109064798743,365.2022501264193,5153.332484472179,4481.585124736865,115.0,0.27,0.39,0.66
baseline,county,38003,Barnes County,R6,Jamestown,2043,9589.063616970321,1568.788016408621,5756.4584167639305,2263.81718379777,370.86109193297966,5133.606289376175,4455.457327594147,115.2,0.27,0.39,0.67
