fips,county,base_2025,locked_2055,corrected_2055,delta_2055,locked_growth_pct,corrected_growth_pct
38017,Cass County,201794.0,256962.8,261607.6,4644.8,27.3,29.6
38015,Burleigh County,103251.0,113636.2,115714.6,2078.5,10.1,12.1
38035,Grand Forks County,74501.0,66779.0,67997.1,1218.1,-10.4,-8.7
38105,Williams County,41767.0,62805.6,63953.7,1148.1,50.4,53.1
38101,Ward County,68233.0,57152.5,58209.8,1057.2,-16.2,-14.7
38059,Morton County,34601.0,43949.9,44750.4,800.6,27.0,29.3
38089,Stark County,34013.0,36219.0,36884.6,665.5,6.5,8.4
38053,McKenzie County,15192.0,26637.6,27124.1,486.5,75.3,78.5
38093,Stutsman County,21414.0,17145.3,17460.4,315.1,-19.9,-18.5
38077,Richland County,16731.0,13526.9,13775.7,248.8,-19.2,-17.7
38079,Rolette County,11688.0,10893.9,11094.8,201.0,-6.8,-5.1
38061,Mountrail County,9395.0,9927.9,10111.2,183.2,5.7,7.6
38055,McLean County,9740.0,9653.8,9830.6,176.8,-0.9,0.9
38071,Ramsey County,11530.0,9357.9,9530.4,172.5,-18.8,-17.3
38003,Barnes County,10573.0,8517.5,8673.9,156.3,-19.4,-18.0
38099,Walsh County,10179.0,7205.7,7339.0,133.3,-29.2,-27.9
38057,Mercer County,8441.0,6976.0,7104.5,128.5,-17.4,-15.8
38097,Traill County,7920.0,6709.1,6832.3,123.2,-15.3,-13.7
38009,Bottineau County,6284.0,5180.6,5276.1,95.5,-17.6,-16.0
38005,Benson County,5759.0,5003.4,5096.1,92.7,-13.1,-11.5
38073,Ransom County,5617.0,4797.9,4886.4,88.5,-14.6,-13.0
38067,Pembina County,6568.0,4054.4,4129.5,75.1,-38.3,-37.1
38049,McHenry County,5130.0,4047.1,4121.7,74.7,-21.1,-19.7
38021,Dickey County,4895.0,3984.3,4057.2,72.9,-18.6,-17.1
38025,Dunn County,4058.0,3568.4,3634.4,66.1,-12.1,-10.4
38085,Sioux County,3667.0,3421.0,3483.9,63.0,-6.7,-5.0
38063,Nelson County,2963.0,3395.9,3456.7,60.8,14.6,16.7
38045,LaMoure County,4135.0,3260.8,3321.2,60.4,-21.1,-19.7
38069,Pierce County,3838.0,3127.4,3184.8,57.4,-18.5,-17.0
38103,Wells County,3729.0,3075.6,3132.1,56.4,-17.5,-16.0
38041,Hettinger County,2492.0,3049.4,3104.3,54.9,22.4,24.6
38081,Sargent County,3711.0,2969.5,3024.3,54.8,-20.0,-18.5
38031,Foster County,3212.0,2899.8,2953.1,53.3,-9.7,-8.1
38029,Emmons County,3215.0,2645.3,2694.2,48.9,-17.7,-16.2
38019,Cavalier County,3497.0,2638.3,2687.1,48.8,-24.6,-23.2
38013,Burke County,2132.0,2372.9,2416.4,43.5,11.3,13.3
38075,Renville County,2331.0,2392.1,2435.2,43.1,2.6,4.5
38023,Divide County,2110.0,2301.2,2343.6,42.4,9.1,11.1
38027,Eddy County,2329.0,2223.6,2264.3,40.7,-4.5,-2.8
38011,Bowman County,2762.0,2188.8,2229.3,40.5,-20.8,-19.3
38051,McIntosh County,2451.0,2197.1,2237.3,40.2,-10.4,-8.7
38037,Grant County,2206.0,2030.0,2067.2,37.2,-8.0,-6.3
38039,Griggs County,2239.0,1927.1,1962.8,35.7,-13.9,-12.3
38043,Kidder County,2393.0,1901.7,1937.0,35.3,-20.5,-19.1
38047,Logan County,1859.0,1906.0,1941.0,34.9,2.5,4.4
38001,Adams County,2275.0,1864.9,1899.3,34.4,-18.0,-16.5
38065,Oliver County,1898.0,1782.7,1815.6,32.9,-6.1,-4.3
38033,Golden Valley County,1808.0,1734.1,1766.0,31.9,-4.1,-2.3
38095,Towner County,2040.0,1725.0,1756.8,31.8,-15.4,-13.9
38007,Billings County,1071.0,1590.7,1619.1,28.4,48.5,51.2
38091,Steele County,1797.0,1529.4,1557.4,28.0,-14.9,-13.3
38083,Sheridan County,1296.0,1301.0,1324.8,23.8,0.4,2.2
38087,Slope County,628.0,409.6,417.4,7.8,-34.8,-33.5
