year,published_locked,control_run,corrected_run,corrected_minus_locked,locked_pct_vs_2025,corrected_pct_vs_2025,control_minus_published
2025,799358.0,799358.0,799358.0,0.0,0.0,0.0,0.0
2026,792788.4,792788.4,797910.55,5122.15,-0.82,-0.18,0.0
2027,788818.8,788818.8,797936.24,9117.44,-1.32,-0.18,0.0
2028,787382.31,787382.31,799352.13,11969.83,-1.5,-0.0,0.0
2029,788904.13,788904.13,802299.72,13395.58,-1.31,0.37,0.0
2030,792478.37,792478.37,806509.17,14030.8,-0.86,0.89,0.0
2031,796822.26,796822.26,810926.71,14104.46,-0.32,1.45,0.0
2032,801192.18,801192.18,815370.94,14178.75,0.23,2.0,0.0
2033,805602.95,805602.95,819856.95,14254.0,0.78,2.56,0.0
2034,810041.66,810041.66,824371.72,14330.06,1.34,3.13,0.0
2035,814484.01,814484.01,828890.58,14406.57,1.89,3.69,0.0
2036,818886.56,818886.56,833369.56,14483.01,2.44,4.25,0.0
2037,823322.9,823322.9,837883.51,14560.61,3.0,4.82,0.0
2038,827782.48,827782.48,842421.54,14639.06,3.56,5.39,0.0
2039,832260.91,832260.91,846979.11,14718.2,4.12,5.96,0.0
2040,836766.96,836766.96,851565.1,14798.14,4.68,6.53,0.0
2041,841014.16,841014.16,855887.62,14873.46,5.21,7.07,0.0
2042,844989.0,844989.0,859932.58,14943.58,5.71,7.58,0.0
2043,848710.99,848710.99,863719.93,15008.94,6.17,8.05,0.0
2044,852197.48,852197.48,867267.41,15069.93,6.61,8.5,0.0
2045,855474.99,855474.99,870602.11,15127.12,7.02,8.91,0.0
2046,858863.28,858863.28,874050.07,15186.79,7.44,9.34,0.0
2047,862286.45,862286.45,877532.38,15245.93,7.87,9.78,0.0
2048,865741.93,865741.93,881046.58,15304.65,8.3,10.22,0.0
2049,869225.38,869225.38,884588.37,15362.99,8.74,10.66,0.0
2050,872730.33,872730.33,888151.48,15421.16,9.18,11.11,0.0
2051,876182.49,876182.49,891660.84,15478.35,9.61,11.55,0.0
2052,879550.93,879550.93,895083.19,15532.26,10.03,11.98,0.0
2053,882824.75,882824.75,898407.74,15582.99,10.44,12.39,0.0
2054,885985.1,885985.1,901615.56,15630.46,10.84,12.79,0.0
2055,889017.4,889017.4,904692.25,15674.86,11.22,13.18,0.0
