year,total_population,male_population,female_population,"population_AIAN alone, Non-Hispanic","population_Asian/PI alone, Non-Hispanic","population_Black alone, Non-Hispanic",population_Hispanic (any race),"population_Two or more races, Non-Hispanic","population_White alone, Non-Hispanic",median_age,dependency_ratio,population_under_18,population_working_age,population_65_plus
2025,799358.0,410257.3088105883,389100.6911894117,38141.3906527245,18294.977301672818,31489.242225279697,41785.61951527624,19401.759595677973,650245.0107093687,35,0.679673800114059,188527.39605923538,475900.7373608609,134929.8665799037
2026,797910.5514604303,409850.7102106598,388059.8412497706,38387.47599013077,18546.863121687293,31977.94294847958,42258.58228491671,19646.13553718554,647093.5515780303,35,0.6788231455667934,186713.52283511404,475279.6943307837,135917.3342945326
2027,797936.2379545686,410105.06592882646,387831.1720257421,38694.88908713192,18811.384122332405,32507.317096871124,42818.78791631568,19931.662474926892,645172.1972569905,35,0.6793901735136768,185602.72197639226,475134.51640907204,137198.99956910414
2028,799352.1340278161,410980.65237743116,388371.48165038496,39061.510235768925,19086.444976472565,33078.39432002173,43464.969523824555,20258.349774654,644402.4651970743,35,0.680854188864114,185107.05852155658,475563.0436736464,138682.0318326131
2029,802299.7161992015,412553.2157850533,389746.5004141483,39495.10675872617,19378.756406341166,33700.289048596554,44207.71760182405,20631.882492777157,644885.9638909365,35,0.6791626699271358,184235.44617890395,477797.49429161375,140266.7757286839
2030,806509.1671934922,414685.9721954225,391823.19499806967,39982.369323647916,19686.689315397238,34365.11828842323,45036.410733605815,21047.403164502648,646391.1763679154,36,0.6779313772299904,184030.7855202388,480656.824312396,141821.55736085738
2031,810926.7143041322,416911.80081984797,394014.91348428425,40485.14359957119,19993.902756681244,35035.46016152858,45880.184043479276,21481.00742986121,648051.0163130107,36,0.6761022144166058,184115.37229661806,483816.9816429651,142994.36036454898
2032,815370.9355415995,419137.1486722731,396233.7868693266,40992.07743424247,20296.930042498432,35703.775992330586,46727.82917964475,21926.121844300473,649724.2010485829,36,0.672985781003728,184242.84788035392,487374.69546956226,143753.3921916835
2033,819856.9464534512,421376.59299172857,398480.3534617227,41503.45408972144,20596.28255615493,36370.660817818716,47580.836356950786,22382.42551766088,651423.2871151444,36,0.6682601791582536,184238.80789711076,491444.29429894005,144173.8442574004
2034,824371.7195818488,423628.57224440505,400743.1473374437,42017.924194288025,20891.026861508843,37036.82069256464,48441.09452496452,22849.88721315457,653134.9660953683,36,0.6623047004384851,184067.07200955285,495920.9460000894,144383.7015722065
