county_name,population_2025
Adams,2275
Barnes,10573
Benson,5759
Billings,1071
Bottineau,6284
Bowman,2762
Burke,2132
Burleigh,103251
Cass,201794
Cavalier,3497
Dickey,4895
Divide,2110
Dunn,4058
Eddy,2329
Emmons,3215
Foster,3212
Golden Valley,1808
Grand Forks,74501
Grant,2206
Griggs,2239
Hettinger,2492
Kidder,2393
LaMoure,4135
Logan,1859
McHenry,5130
McIntosh,2451
McKenzie,15192
McLean,9740
Mercer,8441
Morton,34601
Mountrail,9395
Nelson,2963
Oliver,1898
Pembina,6568
Pierce,3838
Ramsey,11530
Ransom,5617
Renville,2331
Richland,16731
Rolette,11688
Sargent,3711
Sheridan,1296
Sioux,3667
Slope,628
Stark,34013
Steele,1797
Stutsman,21414
Towner,2040
Traill,7920
Walsh,10179
Ward,68233
Wells,3729
Williams,41767
# SUM_OF_53_COUNTIES,799358
