fips,age_group,sex,race,proportion
38001,0-4,male,white_nonhispanic,0.019627233079912827
38001,0-4,female,white_nonhispanic,0.019789082664631266
38001,0-4,male,black_nonhispanic,0.0012260527663677174
38001,0-4,female,black_nonhispanic,0.0011822651675688705
38001,0-4,male,aian_nonhispanic,0.0014415705878217551
38001,0-4,female,aian_nonhispanic,0.0009870155466953229
38001,0-4,male,asian_nonhispanic,0.0006536682367355957
38001,0-4,female,asian_nonhispanic,0.0016352790973275353
38001,0-4,male,multiracial_nonhispanic,0.0017384775687700235
38001,0-4,female,multiracial_nonhispanic,0.001380829508591859
38001,0-4,male,hispanic,0.0024558636550802947
38001,0-4,female,hispanic,0.003052000080344679
38001,5-9,male,white_nonhispanic,0.023769236273613804
38001,5-9,female,white_nonhispanic,0.023163113758021915
38001,5-9,male,black_nonhispanic,0.0010501845416838237
38001,5-9,female,black_nonhispanic,0.0009705054684596921
38001,5-9,male,aian_nonhispanic,0.0014195923009711663
38001,5-9,female,aian_nonhispanic,0.0016002109047815126
38001,5-9,male,asian_nonhispanic,0.0011161194022355908
38001,5-9,female,asian_nonhispanic,0.0016752031213907665
38001,5-9,male,multiracial_nonhispanic,0.0009137969388677426
38001,5-9,female,multiracial_nonhispanic,0.0010879550772815378
38001,5-9,male,hispanic,0.002070389219752739
38001,5-9,female,hispanic,0.0016818744915688302
38001,10-14,male,white_nonhispanic,0.024243890540418395
38001,10-14,female,white_nonhispanic,0.02506819129063683
38001,10-14,male,black_nonhispanic,0.0009460992658504986
38001,10-14,female,black_nonhispanic,0.0008226325938275199
38001,10-14,male,aian_nonhispanic,0.0017272667242470194
38001,10-14,female,aian_nonhispanic,0.0012468698215343822
38001,10-14,male,asian_nonhispanic,0.0010957457492643441
38001,10-14,female,asian_nonhispanic,0.0011704000160689357
38001,10-14,male,multiracial_nonhispanic,0.0010477566259252192
38001,10-14,female,multiracial_nonhispanic,0.0008003798796838437
38001,10-14,male,hispanic,0.0025330093601550656
38001,10-14,female,hispanic,0.0023351628486205827
38001,15-19,male,white_nonhispanic,0.024618027086199798
38001,15-19,female,white_nonhispanic,0.026102963463257373
38001,15-19,male,black_nonhispanic,0.00199104809633327
38001,15-19,female,black_nonhispanic,0.0008912697974309789
38001,15-19,male,aian_nonhispanic,0.0017947426961665545
38001,15-19,female,aian_nonhispanic,0.0013811039358849462
38001,15-19,male,asian_nonhispanic,0.0003158449749425033
38001,15-19,female,asian_nonhispanic,0.0009495829609022708
38001,15-19,male,multiracial_nonhispanic,0.0010082760040574063
38001,15-19,female,multiracial_nonhispanic,0.001132903907764309
38001,15-19,male,hispanic,0.0018554837753964508
38001,15-19,female,hispanic,0.0018052357112010526
38001,20-24,male,white_nonhispanic,0.0256892395878318
38001,20-24,female,white_nonhispanic,0.024149220907694006
38001,20-24,male,black_nonhispanic,0.0016214713621435961
38001,20-24,female,black_nonhispanic,0.0017594635988390193
38001,20-24,male,aian_nonhispanic,0.001531573701178054
38001,20-24,female,aian_nonhispanic,0.001790161291942433
38001,20-24,male,asian_nonhispanic,0.0006812201845918992
38001,20-24,female,asian_nonhispanic,0.0009422356911148827
38001,20-24,male,multiracial_nonhispanic,0.001969513211678099
38001,20-24,female,multiracial_nonhispanic,0.0010202046780689157
38001,20-24,male,hispanic,0.002277293087344709
38001,20-24,female,hispanic,0.001307885328057366
38001,25-29,male,white_nonhispanic,0.022945589830372298
38001,25-29,female,white_nonhispanic,0.020667304486245996
38001,25-29,male,black_nonhispanic,0.0014092682608389993
38001,25-29,female,black_nonhispanic,0.0010343922929366984
38001,25-29,male,aian_nonhispanic,0.0012602341545229032
38001,25-29,female,aian_nonhispanic,0.001032956633959687
38001,25-29,male,asian_nonhispanic,0.001386297717206817
38001,25-29,female,asian_nonhispanic,0.0007637705757700536
38001,25-29,male,multiracial_nonhispanic,0.001063274447379257
38001,25-29,female,multiracial_nonhispanic,0.0006130263831838587
38001,25-29,male,hispanic,0.001658629520643561
38001,25-29,female,hispanic,0.0012195923009711662
38001,30-34,male,white_nonhispanic,0.024438295286780286
38001,30-34,female,white_nonhispanic,0.02207431380622872
38001,30-34,male,black_nonhispanic,0.0015365985075975936
38001,30-34,female,black_nonhispanic,0.0010867938455976138
38001,30-34,male,aian_nonhispanic,0.0010343922929366984
38001,30-34,female,aian_nonhispanic,0.0012480310532183066
38001,30-34,male,asian_nonhispanic,0.001254934920810276
38001,30-34,female,asian_nonhispanic,0.0014216403370459272
38001,30-34,male,multiracial_nonhispanic,0.0011046341304194996
38001,30-34,female,multiracial_nonhispanic,0.0010292620341264022
38001,30-34,male,hispanic,0.0015340016169366581
38001,30-34,female,hispanic,0.001410978347109098
38001,35-39,male,white_nonhispanic,0.027010299936728564
