age,race_ethnicity,asfr,year
15-19,total,11.7,2023
20-24,total,56.5,2023
25-29,total,125.1,2023
30-34,total,119.4,2023
35-39,total,49.6,2023
40-44,total,9.8,2023
45-49,total,0.4,2023
15-19,white_nh,7.0,2023
20-24,white_nh,45.6,2023
25-29,white_nh,123.2,2023
30-34,white_nh,118.3,2023
35-39,white_nh,46.2,2023
40-44,white_nh,8.5,2023
45-49,white_nh,0.4,2023
15-19,black_nh,17.1,2023
20-24,black_nh,99.2,2023
25-29,black_nh,136.8,2023
30-34,black_nh,150.5,2023
35-39,black_nh,94.4,2023
40-44,black_nh,32.8,2023
45-49,black_nh,1.5,2023
15-19,hispanic,28.6,2023
20-24,hispanic,114.4,2023
25-29,hispanic,146.1,2023
30-34,hispanic,119.6,2023
35-39,hispanic,50.6,2023
40-44,hispanic,9.7,2023
45-49,hispanic,1.1,2023
15-19,aian_nh,46.0,2023
20-24,aian_nh,123.5,2023
25-29,aian_nh,127.4,2023
30-34,aian_nh,102.0,2023
35-39,aian_nh,47.0,2023
40-44,aian_nh,13.3,2023
45-49,aian_nh,0.4,2023
15-19,asian_nh,3.4,2023
20-24,asian_nh,35.8,2023
25-29,asian_nh,94.1,2023
30-34,asian_nh,111.6,2023
35-39,asian_nh,80.9,2023
40-44,asian_nh,16.3,2023
45-49,asian_nh,1.3,2023
15-19,two_or_more_nh,26.1,2023
20-24,two_or_more_nh,95.0,2023
25-29,two_or_more_nh,137.8,2023
30-34,two_or_more_nh,137.7,2023
35-39,two_or_more_nh,60.5,2023
40-44,two_or_more_nh,12.2,2023
45-49,two_or_more_nh,0.0,2023
