county_fips,gq_total_2025
38001,65.0
38003,499.0
38005,48.0
38007,7.0
38009,192.0
38011,47.0
38013,0.0
38015,5274.0
38017,8684.0
38019,51.0
38021,353.0
38023,41.0
38025,83.0
38027,65.0
38029,41.99999999999999
38031,66.0
38033,70.0
38035,4512.0
38037,61.99999999999999
38039,88.0
38041,153.0
38043,0.0
38045,237.0
38047,60.99999999999999
38049,38.0
38051,91.0
38053,94.0
38055,192.99999999999997
38057,100.0
38059,834.0
38061,75.0
38063,119.0
38065,3.0
38067,127.99999999999999
38069,131.0
38071,460.0
38073,392.0
38075,37.0
38077,1197.0
38079,156.0
38081,47.99999999999999
38083,11.999999999999998
38085,63.0
38087,0.0
38089,674.0
38091,0.0
38093,1912.0
38095,23.999999999999996
38097,387.0
38099,273.0
38101,2161.0
38103,78.0
38105,496.0
