county_fips,county_name,year,netmig,intl_mig,domestic_mig,residual
005,Benson County,2000,-32,0,-32,-2
005,Benson County,2001,-84,0,-84,-5
005,Benson County,2002,-196,-1,-195,-3
005,Benson County,2003,-24,-1,-23,-12
005,Benson County,2004,2,0,2,-6
005,Benson County,2005,-80,0,-80,-5
005,Benson County,2006,-112,0,-112,-5
005,Benson County,2007,-95,0,-95,1
005,Benson County,2008,-127,0,-127,3
005,Benson County,2009,-78,0,-78,3
005,Benson County,2010,4,1,3,1
005,Benson County,2011,-38,7,-45,-2
005,Benson County,2012,-6,1,-7,-1
005,Benson County,2013,43,0,43,1
005,Benson County,2014,-86,0,-86,1
005,Benson County,2015,-134,0,-134,1
005,Benson County,2016,-67,1,-68,-2
005,Benson County,2017,-11,1,-12,1
005,Benson County,2018,-65,1,-66,0
005,Benson County,2019,-196,1,-197,0
005,Benson County,2020,-26,0,-26,-2
005,Benson County,2021,-159,0,-159,-4
005,Benson County,2022,-3,7,-10,-3
005,Benson County,2023,-37,14,-51,-1
005,Benson County,2024,-43,13,-56,-2
005,Benson County,2025,14,12,2,1
079,Rolette County,2000,-33,0,-33,0
079,Rolette County,2001,-110,8,-118,-13
079,Rolette County,2002,-201,7,-208,-8
079,Rolette County,2003,-252,6,-258,-3
079,Rolette County,2004,-131,10,-141,-15
079,Rolette County,2005,-152,13,-165,-12
079,Rolette County,2006,-201,13,-214,-8
079,Rolette County,2007,-139,10,-149,1
079,Rolette County,2008,-155,10,-165,2
079,Rolette County,2009,-118,10,-128,-2
079,Rolette County,2010,9,3,6,-1
079,Rolette County,2011,23,1,22,0
079,Rolette County,2012,41,0,41,-3
079,Rolette County,2013,105,1,104,0
079,Rolette County,2014,-113,0,-113,1
079,Rolette County,2015,-180,0,-180,1
079,Rolette County,2016,-135,1,-136,0
079,Rolette County,2017,-208,1,-209,1
079,Rolette County,2018,-352,2,-354,2
079,Rolette County,2019,-213,0,-213,1
079,Rolette County,2020,-25,0,-25,1
079,Rolette County,2021,-125,1,-126,3
079,Rolette County,2022,-169,7,-176,3
079,Rolette County,2023,-119,7,-126,0
079,Rolette County,2024,-54,9,-63,-1
079,Rolette County,2025,17,9,8,0
085,Sioux County,2000,-4,0,-4,0
085,Sioux County,2001,-126,0,-126,0
085,Sioux County,2002,6,-1,7,-4
085,Sioux County,2003,-67,-1,-66,-1
085,Sioux County,2004,-27,0,-27,-5
085,Sioux County,2005,-62,0,-62,-2
085,Sioux County,2006,-24,0,-24,-3
085,Sioux County,2007,-88,0,-88,1
085,Sioux County,2008,-84,0,-84,1
085,Sioux County,2009,-15,0,-15,4
085,Sioux County,2010,-14,0,-14,0
085,Sioux County,2011,32,1,31,0
085,Sioux County,2012,25,1,24,1
085,Sioux County,2013,64,0,64,0
085,Sioux County,2014,-28,0,-28,0
085,Sioux County,2015,-144,2,-146,1
085,Sioux County,2016,45,2,43,-1
085,Sioux County,2017,-88,4,-92,1
085,Sioux County,2018,-81,2,-83,-1
085,Sioux County,2019,-154,2,-156,3
085,Sioux County,2020,-16,0,-16,-2
085,Sioux County,2021,-118,0,-118,-7
085,Sioux County,2022,-54,0,-54,-3
085,Sioux County,2023,-40,1,-41,1
085,Sioux County,2024,72,8,64,-1
085,Sioux County,2025,-55,8,-63,0
