county_name,age_group,sex,population
Adams,0-4,male,61
Barnes,0-4,male,232
Benson,0-4,male,293
Billings,0-4,male,30
Bottineau,0-4,male,190
Bowman,0-4,male,91
Burke,0-4,male,83
Burleigh,0-4,male,3197
Cass,0-4,male,6236
Cavalier,0-4,male,138
Dickey,0-4,male,155
Divide,0-4,male,90
Dunn,0-4,male,160
Eddy,0-4,male,74
Emmons,0-4,male,78
Foster,0-4,male,95
Golden Valley,0-4,male,56
Grand Forks,0-4,male,2421
Grant,0-4,male,52
Griggs,0-4,male,46
Hettinger,0-4,male,92
Kidder,0-4,male,82
LaMoure,0-4,male,131
Logan,0-4,male,53
McHenry,0-4,male,189
McIntosh,0-4,male,67
McKenzie,0-4,male,683
McLean,0-4,male,251
Mercer,0-4,male,245
Morton,0-4,male,1186
Mountrail,0-4,male,415
Nelson,0-4,male,62
Oliver,0-4,male,72
Pembina,0-4,male,215
Pierce,0-4,male,107
Ramsey,0-4,male,389
Ransom,0-4,male,196
Renville,0-4,male,71
Richland,0-4,male,503
Rolette,0-4,male,516
Sargent,0-4,male,95
Sheridan,0-4,male,31
Sioux,0-4,male,160
Slope,0-4,male,14
Stark,0-4,male,1380
Steele,0-4,male,51
Stutsman,0-4,male,561
Towner,0-4,male,59
Traill,0-4,male,248
Walsh,0-4,male,330
Ward,0-4,male,2604
Wells,0-4,male,96
Williams,0-4,male,1853
Adams,5-9,male,55
Barnes,5-9,male,330
Benson,5-9,male,251
Billings,5-9,male,35
Bottineau,5-9,male,183
Bowman,5-9,male,98
Burke,5-9,male,69
Burleigh,5-9,male,3311
Cass,5-9,male,6180
Cavalier,5-9,male,109
Dickey,5-9,male,177
Divide,5-9,male,50
Dunn,5-9,male,134
Eddy,5-9,male,72
Emmons,5-9,male,73
Foster,5-9,male,102
Golden Valley,5-9,male,72
Grand Forks,5-9,male,2238
Grant,5-9,male,67
Griggs,5-9,male,79
Hettinger,5-9,male,79
Kidder,5-9,male,81
LaMoure,5-9,male,136
Logan,5-9,male,72
McHenry,5-9,male,179
McIntosh,5-9,male,71
McKenzie,5-9,male,649
McLean,5-9,male,314
Mercer,5-9,male,292
Morton,5-9,male,1101
Mountrail,5-9,male,367
Nelson,5-9,male,102
Oliver,5-9,male,55
Pembina,5-9,male,222
Pierce,5-9,male,127
Ramsey,5-9,male,410
Ransom,5-9,male,194
Renville,5-9,male,76
Richland,5-9,male,553
Rolette,5-9,male,654
Sargent,5-9,male,126
Sheridan,5-9,male,48
Sioux,5-9,male,184
Slope,5-9,male,26
Stark,5-9,male,1340
Steele,5-9,male,65
Stutsman,5-9,male,597
Towner,5-9,male,87
Traill,5-9,male,290
Walsh,5-9,male,353
Ward,5-9,male,2547
Wells,5-9,male,127
Williams,5-9,male,1706
Adams,10-14,male,55
Barnes,10-14,male,298
Benson,10-14,male,310
Billings,10-14,male,27
Bottineau,10-14,male,223
Bowman,10-14,male,114
Burke,10-14,male,95
Burleigh,10-14,male,3296
Cass,10-14,male,5823
Cavalier,10-14,male,104
Dickey,10-14,male,197
Divide,10-14,male,62
Dunn,10-14,male,151
Eddy,10-14,male,91
Emmons,10-14,male,117
Foster,10-14,male,115
Golden Valley,10-14,male,68
Grand Forks,10-14,male,2084
Grant,10-14,male,60
Griggs,10-14,male,73
Hettinger,10-14,male,69
Kidder,10-14,male,70
LaMoure,10-14,male,128
Logan,10-14,male,69
McHenry,10-14,male,172
McIntosh,10-14,male,84
McKenzie,10-14,male,605
McLean,10-14,male,316
Mercer,10-14,male,280
Morton,10-14,male,1087
Mountrail,10-14,male,398
Nelson,10-14,male,56
Oliver,10-14,male,69
Pembina,10-14,male,244
Pierce,10-14,male,136
Ramsey,10-14,male,389
Ransom,10-14,male,211
Renville,10-14,male,79
Richland,10-14,male,536
Rolette,10-14,male,624
Sargent,10-14,male,133
Sheridan,10-14,male,30
Sioux,10-14,male,225
Slope,10-14,male,23
Stark,10-14,male,1151
Steele,10-14,male,47
Stutsman,10-14,male,622
Towner,10-14,male,77
Traill,10-14,male,263
Walsh,10-14,male,361
Ward,10-14,male,2319
Wells,10-14,male,126
Williams,10-14,male,1411
Adams,15-19,male,65
Barnes,15-19,male,411
Benson,15-19,male,282
Billings,15-19,male,21
Bottineau,15-19,male,207
Bowman,15-19,male,86
Burke,15-19,male,81
Burleigh,15-19,male,3288
Cass,15-19,male,5994
Cavalier,15-19,male,102
Dickey,15-19,male,163
Divide,15-19,male,73
Dunn,15-19,male,120
Eddy,15-19,male,69
Emmons,15-19,male,96
Foster,15-19,male,95
Golden Valley,15-19,male,78
Grand Forks,15-19,male,3114
Grant,15-19,male,45
Griggs,15-19,male,54
Hettinger,15-19,male,66
Kidder,15-19,male,63
LaMoure,15-19,male,115
Logan,15-19,male,56
McHenry,15-19,male,157
McIntosh,15-19,male,63
McKenzie,15-19,male,469
McLean,15-19,male,294
Mercer,15-19,male,273
Morton,15-19,male,973
Mountrail,15-19,male,322
Nelson,15-19,male,81
Oliver,15-19,male,51
Pembina,15-19,male,191
Pierce,15-19,male,105
Ramsey,15-19,male,349
Ransom,15-19,male,205
Renville,15-19,male,61
Richland,15-19,male,829
Rolette,15-19,male,513
Sargent,15-19,male,101
Sheridan,15-19,male,27
Sioux,15-19,male,200
Slope,15-19,male,20
Stark,15-19,male,1060
Steele,15-19,male,55
Stutsman,15-19,male,751
Towner,15-19,male,46
Traill,15-19,male,297
Walsh,15-19,male,292
Ward,15-19,male,2255
Wells,15-19,male,93
Williams,15-19,male,1212
Adams,20-24,male,33
Barnes,20-24,male,439
Benson,20-24,male,138
Billings,20-24,male,22
Bottineau,20-24,male,150
Bowman,20-24,male,47
Burke,20-24,male,48
Burleigh,20-24,male,3237
Cass,20-24,male,9515
Cavalier,20-24,male,87
Dickey,20-24,male,155
Divide,20-24,male,34
Dunn,20-24,male,98
Eddy,20-24,male,52
Emmons,20-24,male,59
Foster,20-24,male,66
Golden Valley,20-24,male,41
Grand Forks,20-24,male,5220
Grant,20-24,male,40
Griggs,20-24,male,54
Hettinger,20-24,male,33
Kidder,20-24,male,62
LaMoure,20-24,male,81
Logan,20-24,male,50
McHenry,20-24,male,107
McIntosh,20-24,male,53
McKenzie,20-24,male,501
McLean,20-24,male,159
Mercer,20-24,male,161
Morton,20-24,male,1022
Mountrail,20-24,male,293
Nelson,20-24,male,56
Oliver,20-24,male,41
Pembina,20-24,male,134
Pierce,20-24,male,90
Ramsey,20-24,male,342
Ransom,20-24,male,131
Renville,20-24,male,35
Richland,20-24,male,600
Rolette,20-24,male,292
Sargent,20-24,male,113
Sheridan,20-24,male,20
Sioux,20-24,male,109
Slope,20-24,male,12
Stark,20-24,male,1205
Steele,20-24,male,29
Stutsman,20-24,male,837
Towner,20-24,male,26
Traill,20-24,male,294
Walsh,20-24,male,262
Ward,20-24,male,3572
Wells,20-24,male,72
Williams,20-24,male,1599
Adams,25-29,male,35
Barnes,25-29,male,294
Benson,25-29,male,167
Billings,25-29,male,33
Bottineau,25-29,male,164
Bowman,25-29,male,82
Burke,25-29,male,69
Burleigh,25-29,male,3386
Cass,25-29,male,8166
Cavalier,25-29,male,87
Dickey,25-29,male,117
Divide,25-29,male,55
Dunn,25-29,male,125
Eddy,25-29,male,77
Emmons,25-29,male,76
Foster,25-29,male,101
Golden Valley,25-29,male,44
Grand Forks,25-29,male,3317
Grant,25-29,male,50
Griggs,25-29,male,66
Hettinger,25-29,male,63
Kidder,25-29,male,66
LaMoure,25-29,male,92
Logan,25-29,male,34
McHenry,25-29,male,113
McIntosh,25-29,male,63
McKenzie,25-29,male,803
McLean,25-29,male,210
Mercer,25-29,male,182
Morton,25-29,male,1134
Mountrail,25-29,male,396
Nelson,25-29,male,78
Oliver,25-29,male,29
Pembina,25-29,male,161
Pierce,25-29,male,101
Ramsey,25-29,male,326
Ransom,25-29,male,171
Renville,25-29,male,64
Richland,25-29,male,471
Rolette,25-29,male,324
Sargent,25-29,male,127
Sheridan,25-29,male,33
Sioux,25-29,male,132
Slope,25-29,male,16
Stark,25-29,male,1412
Steele,25-29,male,42
Stutsman,25-29,male,714
Towner,25-29,male,45
Traill,25-29,male,247
Walsh,25-29,male,280
Ward,25-29,male,3400
Wells,25-29,male,79
Williams,25-29,male,2235
Adams,30-34,male,68
Barnes,30-34,male,272
Benson,30-34,male,163
Billings,30-34,male,36
Bottineau,30-34,male,183
Bowman,30-34,male,88
Burke,30-34,male,49
Burleigh,30-34,male,3610
Cass,30-34,male,7885
Cavalier,30-34,male,122
Dickey,30-34,male,148
Divide,30-34,male,78
Dunn,30-34,male,157
Eddy,30-34,male,83
Emmons,30-34,male,79
Foster,30-34,male,113
Golden Valley,30-34,male,32
Grand Forks,30-34,male,2921
Grant,30-34,male,36
Griggs,30-34,male,56
Hettinger,30-34,male,72
Kidder,30-34,male,76
LaMoure,30-34,male,108
Logan,30-34,male,44
McHenry,30-34,male,138
McIntosh,30-34,male,63
McKenzie,30-34,male,784
McLean,30-34,male,286
Mercer,30-34,male,267
Morton,30-34,male,1205
Mountrail,30-34,male,359
Nelson,30-34,male,79
Oliver,30-34,male,56
Pembina,30-34,male,196
Pierce,30-34,male,122
Ramsey,30-34,male,377
Ransom,30-34,male,166
Renville,30-34,male,75
Richland,30-34,male,480
Rolette,30-34,male,299
Sargent,30-34,male,132
Sheridan,30-34,male,29
Sioux,30-34,male,136
Slope,30-34,male,10
Stark,30-34,male,1542
Steele,30-34,male,39
Stutsman,30-34,male,781
Towner,30-34,male,57
Traill,30-34,male,218
Walsh,30-34,male,311
Ward,30-34,male,2927
Wells,30-34,male,109
Williams,30-34,male,2302
Adams,35-39,male,54
Barnes,35-39,male,307
Benson,35-39,male,177
Billings,35-39,male,23
Bottineau,35-39,male,166
Bowman,35-39,male,100
Burke,35-39,male,77
Burleigh,35-39,male,3747
Cass,35-39,male,7424
Cavalier,35-39,male,97
Dickey,35-39,male,139
Divide,35-39,male,66
Dunn,35-39,male,144
Eddy,35-39,male,65
Emmons,35-39,male,67
Foster,35-39,male,90
Golden Valley,35-39,male,57
Grand Forks,35-39,male,2441
Grant,35-39,male,63
Griggs,35-39,male,59
Hettinger,35-39,male,80
Kidder,35-39,male,69
LaMoure,35-39,male,109
Logan,35-39,male,49
McHenry,35-39,male,178
McIntosh,35-39,male,63
McKenzie,35-39,male,628
McLean,35-39,male,305
Mercer,35-39,male,263
Morton,35-39,male,1237
Mountrail,35-39,male,382
Nelson,35-39,male,81
Oliver,35-39,male,62
Pembina,35-39,male,226
Pierce,35-39,male,114
Ramsey,35-39,male,368
Ransom,35-39,male,160
Renville,35-39,male,82
Richland,35-39,male,482
Rolette,35-39,male,354
Sargent,35-39,male,109
Sheridan,35-39,male,31
Sioux,35-39,male,142
Slope,35-39,male,29
Stark,35-39,male,1385
Steele,35-39,male,64
Stutsman,35-39,male,692
Towner,35-39,male,66
Traill,35-39,male,208
Walsh,35-39,male,315
Ward,35-39,male,2702
Wells,35-39,male,86
Williams,35-39,male,1805
Adams,40-44,male,49
