county_name,age_group,sex,adjustment
Adams,0-4,male,-3.3273275159747393
Barnes,0-4,male,-15.780569418145243
Benson,0-4,male,-16.96331805354728
Billings,0-4,male,-1.911953365907553
Bottineau,0-4,male,-9.743426587105706
Bowman,0-4,male,-5.368947760676116
Burke,0-4,male,-4.252856922570119
Burleigh,0-4,male,-189.38534645348608
Cass,0-4,male,-402.13673033228014
Cavalier,0-4,male,-6.764294448773471
Dickey,0-4,male,-7.740051351557968
Divide,0-4,male,-3.9271907323228246
Dunn,0-4,male,-8.532342470429533
Eddy,0-4,male,-4.348242652892847
Emmons,0-4,male,-4.4865576321713165
Foster,0-4,male,-5.624787104444019
Golden Valley,0-4,male,-2.2624103540943588
Grand Forks,0-4,male,-155.88581960323225
Grant,0-4,male,-3.8709901887399494
Griggs,0-4,male,-3.03676097304948
Hettinger,0-4,male,-4.167628542060036
Kidder,0-4,male,-3.6501327513965607
LaMoure,0-4,male,-6.794636199172833
Logan,0-4,male,-2.8851239319800626
McHenry,0-4,male,-7.954923402337984
McIntosh,0-4,male,-2.966215147380981
McKenzie,0-4,male,-43.294199136788805
McLean,0-4,male,-16.339632818323214
Mercer,0-4,male,-12.72972585783732
Morton,0-4,male,-71.75505249764242
Mountrail,0-4,male,-22.611595349162823
Nelson,0-4,male,-3.988795555901251
Oliver,0-4,male,-2.891353723462476
Pembina,0-4,male,-9.882225498341604
Pierce,0-4,male,-5.639367599939422
Ramsey,0-4,male,-20.188164043978077
Ransom,0-4,male,-9.509422729750368
Renville,0-4,male,-3.763356527769578
Richland,0-4,male,-25.094421764853298
Rolette,0-4,male,-28.724710823043893
Sargent,0-4,male,-5.608267994099912
Sheridan,0-4,male,-1.5423053618784786
Sioux,0-4,male,-10.218820317287928
Slope,0-4,male,-1.2655983538705382
Stark,0-4,male,-80.0620503986597
Steele,0-4,male,-3.0187472952346526
Stutsman,0-4,male,-33.93081927496945
Towner,0-4,male,-3.3971364258986316
Traill,0-4,male,-13.500394723265321
Walsh,0-4,male,-18.83917920269473
Ward,0-4,male,-171.15060156847352
Wells,0-4,male,-5.4984764845674885
Williams,0-4,male,-121.88093085341512
Adams,5-9,male,-2.4192622875
Barnes,5-9,male,-9.2011287
Benson,5-9,male,-11.6203909875
Billings,5-9,male,-1.189801125
Bottineau,5-9,male,-7.535407125000001
Bowman,5-9,male,-3.6090634125000003
Burke,5-9,male,-3.2917831124999997
Burleigh,5-9,male,-126.7931398875
Cass,5-9,male,-247.31999385
Cavalier,5-9,male,-5.4730851750000005
Dickey,5-9,male,-6.1473058125
Divide,5-9,male,-3.5694033750000003
Dunn,5-9,male,-6.345606
Eddy,5-9,male,-2.9348427750000003
Emmons,5-9,male,-3.093482925
Foster,5-9,male,-3.7677035625000004
Golden Valley,5-9,male,-2.2209621000000004
Grand Forks,5-9,male,-96.01695078750001
Grant,5-9,male,-2.06232195
Griggs,5-9,male,-1.824361725
Hettinger,5-9,male,-3.64872345
Kidder,5-9,male,-3.252123075
LaMoure,5-9,male,-5.1954649125
Logan,5-9,male,-2.1019819875
McHenry,5-9,male,-7.4957470875
McIntosh,5-9,male,-2.6572225125
McKenzie,5-9,male,-27.087805612500002
McLean,5-9,male,-9.9546694125
Mercer,5-9,male,-9.716709187500001
Morton,5-9,male,-47.036804475
Mountrail,5-9,male,-16.458915562500003
Nelson,5-9,male,-2.458922325
Oliver,5-9,male,-2.8555227000000003
Pembina,5-9,male,-8.5269080625
Pierce,5-9,male,-4.2436240125
Ramsey,5-9,male,-15.4277545875
Ransom,5-9,male,-7.77336735
Renville,5-9,male,-2.8158626625
Richland,5-9,male,-19.9489988625
Rolette,5-9,male,-20.46457935
Sargent,5-9,male,-3.7677035625000004
Sheridan,5-9,male,-1.2294611625
Sioux,5-9,male,-6.345606
