county_name,age_group,fertility_rate
Adams,10-14,0.00017833301544917035
Barnes,10-14,0.00017833301544917035
Benson,10-14,0.00764101958261335
Billings,10-14,0.00017833301544917035
Bottineau,10-14,0.00017833301544917035
Bowman,10-14,0.00017833301544917035
Burke,10-14,0.00017833301544917035
Burleigh,10-14,0.0007518371255619595
Cass,10-14,0.0005098980021865709
Cavalier,10-14,0.00017833301544917035
Dickey,10-14,0.00017833301544917035
Divide,10-14,0.00017833301544917035
Dunn,10-14,0.00017833301544917035
Eddy,10-14,0.00017833301544917035
Emmons,10-14,0.00017833301544917035
Foster,10-14,0.00017833301544917035
Golden Valley,10-14,0.00017833301544917035
Grand Forks,10-14,0.00017833301544917035
Grant,10-14,0.00017833301544917035
Griggs,10-14,0.00017833301544917035
Hettinger,10-14,0.00017833301544917035
Kidder,10-14,0.00017833301544917035
LaMoure,10-14,0.00017833301544917035
Logan,10-14,0.00017833301544917035
McHenry,10-14,0.00017833301544917035
McIntosh,10-14,0.00017833301544917035
McKenzie,10-14,0.00017833301544917035
McLean,10-14,0.00017833301544917035
Mercer,10-14,0.00017833301544917035
Morton,10-14,0.0019114352684820991
Mountrail,10-14,0.00017833301544917035
Nelson,10-14,0.00017833301544917035
Oliver,10-14,0.00017833301544917035
Pembina,10-14,0.00017833301544917035
Pierce,10-14,0.00017833301544917035
Ramsey,10-14,0.006616101255792518
Ransom,10-14,0.00017833301544917035
Renville,10-14,0.00017833301544917035
Richland,10-14,0.00017833301544917035
Rolette,10-14,0.0039034985783630775
Sargent,10-14,0.00017833301544917035
Sheridan,10-14,0.00017833301544917035
Sioux,10-14,0.0036029905496957454
Slope,10-14,0.00017833301544917035
Stark,10-14,0.0010200838572000121
Steele,10-14,0.00017833301544917035
Stutsman,10-14,0.00017833301544917035
Towner,10-14,0.00017833301544917035
Traill,10-14,0.00017833301544917035
Walsh,10-14,0.00017833301544917035
Ward,10-14,0.0009852184377192078
Wells,10-14,0.00017833301544917035
Williams,10-14,0.0024860253231414778
Adams,15-19,0.10403829428898798
Barnes,15-19,0.07087723171279943
Benson,15-19,0.36678212852909714
Billings,15-19,0.12457730754697537
Bottineau,15-19,0.09329570997366901
Bowman,15-19,0.16607999091012385
Burke,15-19,0.18659281142294434
Burleigh,15-19,0.10386840103858032
Cass,15-19,0.07676121162106224
Cavalier,15-19,0.1136761447562777
Dickey,15-19,0.06428098346595512
Divide,15-19,0.12817356743669006
Dunn,15-19,0.11044338613558805
Eddy,15-19,0.08709032386075531
Emmons,15-19,0.06028488915089654
Foster,15-19,0.0824261447562777
Golden Valley,15-19,0.17346945184289186
Grand Forks,15-19,0.07017600594450646
Grant,15-19,0.09079228648856116
Griggs,15-19,0.07255772370364612
