county_name,age_group,sex,migration_rate
Adams,0-4,male,0.013692630559205348
Barnes,0-4,male,0.06378078807162395
Benson,0-4,male,0.11050123907174392
Billings,0-4,male,0.07433894047441374
Bottineau,0-4,male,0.14661095760433634
Bowman,0-4,male,0.20000363935551393
Burke,0-4,male,0.17096799485509376
Burleigh,0-4,male,0.07302641574154481
Cass,0-4,male,0.039383584158881366
Cavalier,0-4,male,0.23343502537073169
Dickey,0-4,male,0.11894327983995127
Divide,0-4,male,0.25338449724473067
Dunn,0-4,male,0.10279393991377525
Eddy,0-4,male,0.15722787112983577
Emmons,0-4,male,0.30100581108312646
Foster,0-4,male,0.09117162112143698
Golden Valley,0-4,male,0.019250751197553276
Grand Forks,0-4,male,-0.03006918582956416
Grant,0-4,male,0.014227125380605667
Griggs,0-4,male,0.05308933900971357
Hettinger,0-4,male,0.023554819412449243
Kidder,0-4,male,0.14638668182290043
LaMoure,0-4,male,0.12191400217246263
Logan,0-4,male,0.2644198868359316
McHenry,0-4,male,0.1015893286517512
McIntosh,0-4,male,0.13554853980813927
McKenzie,0-4,male,0.4269316543739672
McLean,0-4,male,0.1590637170831831
Mercer,0-4,male,0.10452956215988686
Morton,0-4,male,0.09024516605588823
Mountrail,0-4,male,0.11266935192233767
Nelson,0-4,male,0.15749318370679807
Oliver,0-4,male,0.05709497061619434
Pembina,0-4,male,0.12458270448750802
Pierce,0-4,male,0.2265014866792594
Ramsey,0-4,male,0.09810071807008242
Ransom,0-4,male,0.17335048141389597
Renville,0-4,male,0.08467018771798467
Richland,0-4,male,0.14127872079512094
Rolette,0-4,male,0.12204476286285067
Sargent,0-4,male,0.12272111246322287
Sheridan,0-4,male,0.10401731085809815
Sioux,0-4,male,0.20053314164173566
Slope,0-4,male,0.21824203735054157
Stark,0-4,male,0.06536939381578857
Steele,0-4,male,0.14563348483238142
Stutsman,0-4,male,0.047138680203320286
Towner,0-4,male,0.20242769604285635
Traill,0-4,male,0.08424678240750132
