county_name,age_group,sex,population
Adams,0-4,male,60
Barnes,0-4,male,231
Benson,0-4,male,283
Billings,0-4,male,34
Bottineau,0-4,male,191
Bowman,0-4,male,88
Burke,0-4,male,81
Burleigh,0-4,male,3348
Cass,0-4,male,6791
Cavalier,0-4,male,133
Dickey,0-4,male,153
Divide,0-4,male,87
Dunn,0-4,male,157
Eddy,0-4,male,73
Emmons,0-4,male,76
Foster,0-4,male,93
Golden Valley,0-4,male,58
Grand Forks,0-4,male,2441
Grant,0-4,male,51
Griggs,0-4,male,44
Hettinger,0-4,male,90
Kidder,0-4,male,81
LaMoure,0-4,male,130
Logan,0-4,male,53
McHenry,0-4,male,182
McIntosh,0-4,male,65
McKenzie,0-4,male,686
McLean,0-4,male,253
Mercer,0-4,male,245
Morton,0-4,male,1218
Mountrail,0-4,male,401
Nelson,0-4,male,62
Oliver,0-4,male,72
Pembina,0-4,male,207
Pierce,0-4,male,103
Ramsey,0-4,male,386
Ransom,0-4,male,192
Renville,0-4,male,74
Richland,0-4,male,507
Rolette,0-4,male,495
Sargent,0-4,male,91
Sheridan,0-4,male,31
Sioux,0-4,male,152
Slope,0-4,male,13
Stark,0-4,male,1385
Steele,0-4,male,50
Stutsman,0-4,male,560
Towner,0-4,male,56
Traill,0-4,male,248
Walsh,0-4,male,319
Ward,0-4,male,2548
Wells,0-4,male,92
Williams,0-4,male,1844
Adams,5-9,male,54
Barnes,5-9,male,329
Benson,5-9,male,242
Billings,5-9,male,39
Bottineau,5-9,male,184
Bowman,5-9,male,94
Burke,5-9,male,68
Burleigh,5-9,male,3467
Cass,5-9,male,6730
Cavalier,5-9,male,105
Dickey,5-9,male,175
Divide,5-9,male,48
Dunn,5-9,male,132
Eddy,5-9,male,71
Emmons,5-9,male,71
Foster,5-9,male,100
Golden Valley,5-9,male,75
Grand Forks,5-9,male,2256
Grant,5-9,male,65
Griggs,5-9,male,76
Hettinger,5-9,male,77
Kidder,5-9,male,80
LaMoure,5-9,male,135
Logan,5-9,male,72
McHenry,5-9,male,172
McIntosh,5-9,male,69
McKenzie,5-9,male,652
McLean,5-9,male,316
Mercer,5-9,male,292
Morton,5-9,male,1131
Mountrail,5-9,male,355
Nelson,5-9,male,102
Oliver,5-9,male,55
Pembina,5-9,male,214
Pierce,5-9,male,123
Ramsey,5-9,male,406
Ransom,5-9,male,190
Renville,5-9,male,79
Richland,5-9,male,557
Rolette,5-9,male,627
Sargent,5-9,male,121
Sheridan,5-9,male,48
Sioux,5-9,male,175
Slope,5-9,male,24
Stark,5-9,male,1345
