county_name,age_group,sex,migration_rate
Adams,0-4,male,0.021052189967752155
Barnes,0-4,male,0.09806189256118293
Benson,0-4,male,0.1698938028417346
Billings,0-4,male,0.11429487490383287
Bottineau,0-4,male,0.2254118898114536
Bowman,0-4,male,0.3075022430312629
Burke,0-4,male,0.26286042630978435
Burleigh,0-4,male,0.11227689012769698
Cass,0-4,male,0.06055160049332702
Cavalier,0-4,male,0.3589024386499534
Dickey,0-4,male,0.18287329901665544
Divide,0-4,male,0.38957441726149994
Dunn,0-4,male,0.1580439595767551
Eddy,0-4,male,0.2417352163953107
Emmons,0-4,male,0.46279138905556205
Foster,0-4,male,0.14017483924782104
Golden Valley,0-4,male,0.02959770728352605
Grand Forks,0-4,male,-0.04623086919073073
Grant,0-4,male,0.02187396679640796
Griggs,0-4,male,0.08162396883946499
Hettinger,0-4,male,0.03621514001877485
Kidder,0-4,male,0.22506706955682546
LaMoure,0-4,male,0.18744073480739387
Logan,0-4,male,0.406541143781842
McHenry,0-4,male,0.15619188995318856
McIntosh,0-4,male,0.20840360787897905
McKenzie,0-4,male,0.6564002623356435
McLean,0-4,male,0.24455779877597789
Mercer,0-4,male,0.16071244968750556
Morton,0-4,male,0.13875043011385763
Mountrail,0-4,male,0.17322724000743245
Nelson,0-4,male,0.2421431300351985
Oliver,0-4,male,0.0877825602916949
Pembina,0-4,male,0.19154381988376323
Pierce,0-4,male,0.34824223913237407
Ramsey,0-4,male,0.15082820966025703
Ransom,0-4,male,0.2665234594585024
Renville,0-4,male,0.13017899436758712
Richland,0-4,male,0.21721366509668727
Rolette,0-4,male,0.18764177717704375
Sargent,0-4,male,0.18868165335058706
Sheridan,0-4,male,0.15992487189740484
Sioux,0-4,male,0.3083163439207669
Slope,0-4,male,0.3355434742350553
Stark,0-4,male,0.10050434726449287
Steele,0-4,male,0.2239090418090538
Stutsman,0-4,male,0.0724749306700791
Towner,0-4,male,0.3112291895558096
Traill,0-4,male,0.12952801579987447
Walsh,0-4,male,0.20453089461802054
Ward,0-4,male,0.040410425812350416
Wells,0-4,male,0.18464012178054234
Williams,0-4,male,0.25062152011978
Adams,5-9,male,0.0895178165254498
Barnes,5-9,male,0.03809763533606141
Benson,5-9,male,-0.03583566429770419
Billings,5-9,male,-0.024005380900678417
Bottineau,5-9,male,0.1028286121730494
Bowman,5-9,male,0.015211751280854204
Burke,5-9,male,0.2075737464704931
Burleigh,5-9,male,0.09690895139260448
Cass,5-9,male,0.029111223077478425
Cavalier,5-9,male,-0.0035342579437293974
Dickey,5-9,male,0.08884379975188386
Divide,5-9,male,0.30764561564134035
Dunn,5-9,male,0.0738438156036509
Eddy,5-9,male,0.13391043762812202
Emmons,5-9,male,0.02570549061863854
Foster,5-9,male,0.06561714815150908
Golden Valley,5-9,male,-0.001338700957371118
Grand Forks,5-9,male,-0.0682978009639369
Grant,5-9,male,0.10004992862990841
Griggs,5-9,male,0.16055966856097492
Hettinger,5-9,male,0.33902326745026
Kidder,5-9,male,0.08072964350095431
LaMoure,5-9,male,0.11029745666514629
Logan,5-9,male,0.033718307722116155
McHenry,5-9,male,0.22182432727293347
McIntosh,5-9,male,-0.04291505797597836
McKenzie,5-9,male,0.4000444126992374
McLean,5-9,male,0.0855097730657145
Mercer,5-9,male,0.24086946373914137
Morton,5-9,male,0.06942149431032874
Mountrail,5-9,male,0.24027344682550092
Nelson,5-9,male,0.08452733374286435
Oliver,5-9,male,0.37103874028258366
Pembina,5-9,male,0.010150536914574005
Pierce,5-9,male,0.1275110421899582
Ramsey,5-9,male,0.006072078978339021
Ransom,5-9,male,0.11095014212043744
Renville,5-9,male,0.11306787055909231
Richland,5-9,male,-0.0006419983049379199
Rolette,5-9,male,0.004678559485448805
Sargent,5-9,male,0.12788501308357617
Sheridan,5-9,male,0.580621299210824
Sioux,5-9,male,-0.07215406193784585
Slope,5-9,male,0.049322296181934136
Stark,5-9,male,0.2343744431394173
Steele,5-9,male,-0.041769130394235715
Stutsman,5-9,male,0.07959593476472444
Towner,5-9,male,-0.05089569075816242
Traill,5-9,male,0.09357687624048261
Walsh,5-9,male,-0.0872168400185225
Ward,5-9,male,-0.07642752957057994
Wells,5-9,male,0.15722887051215645
Williams,5-9,male,0.3319243852809785
Adams,10-14,male,0.10340297776378188
Barnes,10-14,male,0.0720584737919969
Benson,10-14,male,-0.015049243262514389
Billings,10-14,male,0.16883379962035594
Bottineau,10-14,male,0.13810558210350118
Bowman,10-14,male,0.11102678122942178
Burke,10-14,male,0.1067314943044792
Burleigh,10-14,male,0.07954242265562539
Cass,10-14,male,0.03930097327186054
Cavalier,10-14,male,0.1358543327148626
Dickey,10-14,male,-0.019605966817854252
Divide,10-14,male,0.1603278691380193
Dunn,10-14,male,0.1512101805748949
Eddy,10-14,male,-0.057877837151379785
Emmons,10-14,male,0.04882459870036737
Foster,10-14,male,0.014707782400773469
Golden Valley,10-14,male,0.13861666504793013
Grand Forks,10-14,male,-0.036527885982542474
Grant,10-14,male,0.0989462235176877
Griggs,10-14,male,0.14927567522522134
Hettinger,10-14,male,0.07924122428675122
Kidder,10-14,male,0.003533894958031362
LaMoure,10-14,male,0.13454039488140024
Logan,10-14,male,0.10491078338652327
McHenry,10-14,male,0.10209746096327663
McIntosh,10-14,male,-0.00934085339500796
McKenzie,10-14,male,0.5397667785178394
McLean,10-14,male,0.13969086369818132
Mercer,10-14,male,0.04681307390018884
Morton,10-14,male,0.07901176345369798
Mountrail,10-14,male,0.16806734258651704
Nelson,10-14,male,0.041423189677020945
Oliver,10-14,male,0.058741020155461274
Pembina,10-14,male,0.02187886669629502
Pierce,10-14,male,0.033515785146443836
Ramsey,10-14,male,0.04193716768936965
Ransom,10-14,male,0.09478673710988757
Renville,10-14,male,0.07436318125710434
Richland,10-14,male,0.012720389397919526
Rolette,10-14,male,-0.04331709073847068
Sargent,10-14,male,0.07984120444855915
Sheridan,10-14,male,-0.13229893660887546
Sioux,10-14,male,-0.07787892400830268
Slope,10-14,male,0.1196187000151099
Stark,10-14,male,0.11350372037201537
Steele,10-14,male,0.015259769761218456
Stutsman,10-14,male,0.02795919769934778
Towner,10-14,male,0.16083741251439707
Traill,10-14,male,0.06468768125356694
Walsh,10-14,male,0.10388880085225885
Ward,10-14,male,-0.02533359193689451
Wells,10-14,male,-0.001744119687901724
Williams,10-14,male,0.29387147564443156
Adams,15-19,male,-0.10632968057698661
Barnes,15-19,male,0.19786012536283287
Benson,15-19,male,-0.1951253353265042
Billings,15-19,male,0.026369602251002378
Bottineau,15-19,male,0.1584806762519417
Bowman,15-19,male,-0.14707128201852426
Burke,15-19,male,-0.10808690400147063
Burleigh,15-19,male,0.1338028302442764
Cass,15-19,male,0.3641764649186174
Cavalier,15-19,male,-0.14707069134086123
Dickey,15-19,male,0.07781245917671092
Divide,15-19,male,-0.05268671892926755
Dunn,15-19,male,-0.05939728361833222
Eddy,15-19,male,-0.05624329652614081
Emmons,15-19,male,-0.07664193938614486
Foster,15-19,male,-0.035239399503400534
Golden Valley,15-19,male,0.10230951509870537
Grand Forks,15-19,male,0.6311412721189276
Grant,15-19,male,-0.08580972828587169
Griggs,15-19,male,-0.13857687029739493
Hettinger,15-19,male,0.015391904311761271
Kidder,15-19,male,-0.0815650871058678
LaMoure,15-19,male,-0.09354299389395765
Logan,15-19,male,-0.09746533429051543
