county,period_start,period_end,births
Adams,2020,2025,109.38634207571725
Barnes,2020,2025,518.7721336541931
Benson,2020,2025,555.6397336288398
Billings,2020,2025,62.84864513439712
Bottineau,2020,2025,320.31638899797883
Bowman,2020,2025,176.50565809955557
Burke,2020,2025,139.8308106212232
Burleigh,2020,2025,6224.637818699067
Cass,2020,2025,13219.957448166222
Cavalier,2020,2025,222.38087852926472
Dickey,2020,2025,254.45298454114908
Divide,2020,2025,129.1096247790331
Dunn,2020,2025,280.5158141323777
Eddy,2020,2025,142.94769693706556
Emmons,2020,2025,147.50082369457337
Foster,2020,2025,184.91695101623822
Golden Valley,2020,2025,74.37570427122698
Grand Forks,2020,2025,5124.936857987706
Grant,2020,2025,127.25840821776629
Griggs,2020,2025,99.8305497288989
Hettinger,2020,2025,137.01486070241594
Kidder,2020,2025,119.99995787588018
LaMoure,2020,2025,223.39710189138574
Logan,2020,2025,94.87218006404967
McHenry,2020,2025,261.54425223644455
McIntosh,2020,2025,97.51716496310246
McKenzie,2020,2025,1423.2393315953152
McLean,2020,2025,537.213330613838
Mercer,2020,2025,418.5143036660019
Morton,2020,2025,2357.109354171349
Mountrail,2020,2025,743.3061376358912
Nelson,2020,2025,131.16421914273846
Oliver,2020,2025,95.05622662949551
Pembina,2020,2025,324.9122498644627
Pierce,2020,2025,185.3972410885748
Ramsey,2020,2025,661.4450542006075
Ransom,2020,2025,312.5874013314159
Renville,2020,2025,123.71800503989681
Richland,2020,2025,825.0006436582146
Rolette,2020,2025,941.9357849860431
Sargent,2020,2025,184.3673184003376
Sheridan,2020,2025,50.70747865737421
Sioux,2020,2025,335.25060858762174
Slope,2020,2025,41.60769759146925
Stark,2020,2025,2631.141372059369
Steele,2020,2025,99.2476932256067
Stutsman,2020,2025,1115.4155669406816
Towner,2020,2025,111.69398522944843
Traill,2020,2025,443.8010948446093
Walsh,2020,2025,619.3535529360386
Ward,2020,2025,5624.5592699806475
Wells,2020,2025,180.77298661003246
Williams,2020,2025,4003.4173311856175
Adams,2025,2030,109.62121196570016
Barnes,2025,2030,577.9785625285314
Benson,2025,2030,595.5993667377434
Billings,2025,2030,60.986008484361484
Bottineau,2025,2030,311.7603717984975
Bowman,2025,2030,163.3336181422651
Burke,2025,2030,134.3719703085553
Burleigh,2025,2030,6161.879307161759
Cass,2025,2030,13577.168308411552
Cavalier,2025,2030,187.7839001891447
Dickey,2025,2030,261.6848982621555
Divide,2025,2030,116.84416597120733
Dunn,2025,2030,269.2247478436037
Eddy,2025,2030,139.39647424360098
Emmons,2025,2030,161.53825162849353
Foster,2025,2030,176.3571122281986
Golden Valley,2025,2030,87.22603186883788
Grand Forks,2025,2030,5728.216901676812
Grant,2025,2030,129.7150225935841
Griggs,2025,2030,89.65118157918575
Hettinger,2025,2030,121.33185410790418
Kidder,2025,2030,118.33769744196628
LaMoure,2025,2030,224.28414361225688
Logan,2025,2030,90.5699798928858
McHenry,2025,2030,242.677886227976
McIntosh,2025,2030,94.67417948773696
McKenzie,2025,2030,1450.6952344061408
McLean,2025,2030,506.42823011984603
Mercer,2025,2030,397.65982581944286
Morton,2025,2030,2259.6237973648363
Mountrail,2025,2030,770.885543771732
Nelson,2025,2030,111.99783121622046
Oliver,2025,2030,90.46399232930051
Pembina,2025,2030,293.7245121821228
Pierce,2025,2030,189.42169802156238
Ramsey,2025,2030,672.1195782915632
Ransom,2025,2030,313.9956725827496
Renville,2025,2030,133.22741905761458
Richland,2025,2030,858.5525767156477
Rolette,2025,2030,1032.7355983510777
Sargent,2025,2030,181.08632817665378
Sheridan,2025,2030,40.305767648813394
Sioux,2025,2030,371.3751763151023
Slope,2025,2030,33.900508812229525
Stark,2025,2030,2508.3803409104253
Steele,2025,2030,85.19127279541878
Stutsman,2025,2030,1164.0446969328282
Towner,2025,2030,106.56083749313623
Traill,2025,2030,476.37173456206335
Walsh,2025,2030,603.1425648422729
Ward,2025,2030,5501.472763601086
Wells,2025,2030,167.2297695660104
Williams,2025,2030,3941.007460074293
Adams,2030,2035,111.41380924925036
Barnes,2030,2035,583.0942478089247
Benson,2030,2035,630.0370999041119
Billings,2030,2035,67.04120973087907
Bottineau,2030,2035,322.0073607262302
Bowman,2030,2035,180.9457385194198
Burke,2030,2035,174.10773332135176
Burleigh,2030,2035,6361.999862768503
Cass,2030,2035,13107.661123189017
Cavalier,2030,2035,201.1968578185567
Dickey,2030,2035,268.38346858483726
Divide,2030,2035,132.97370274401783
Dunn,2030,2035,291.4551368909525
Eddy,2030,2035,144.48367967639666
