county,period_start,period_end,deaths
Adams,2020,2025,-12.599437828087048
Barnes,2020,2025,-54.24584020677867
Benson,2020,2025,-400.7945366072963
Billings,2020,2025,-36.997280491730294
Bottineau,2020,2025,-96.94062455306812
Bowman,2020,2025,-38.34105446971466
Burke,2020,2025,-60.24312762500449
Burleigh,2020,2025,-2973.8510724394
Cass,2020,2025,-7545.561677713733
Cavalier,2020,2025,-89.33965719758658
Dickey,2020,2025,-95.35382375938161
Divide,2020,2025,-54.46444221233901
Dunn,2020,2025,-170.1110169690794
Eddy,2020,2025,-32.52018572618704
Emmons,2020,2025,22.21762135115523
Foster,2020,2025,-48.66383992368628
Golden Valley,2020,2025,-54.013680131300816
Grand Forks,2020,2025,-2744.889816676281
Grant,2020,2025,28.2532497173097
Griggs,2020,2025,0.6185071238492128
Hettinger,2020,2025,-65.76458324018267
Kidder,2020,2025,-44.84778496195622
LaMoure,2020,2025,-45.33368474631834
Logan,2020,2025,-0.29185616332904374
McHenry,2020,2025,-103.77142394382145
McIntosh,2020,2025,58.797298136956215
McKenzie,2020,2025,-1062.8483470889323
McLean,2020,2025,-101.92552014965804
Mercer,2020,2025,-181.9015833865601
Morton,2020,2025,-1191.2596695075772
Mountrail,2020,2025,-529.4420725749769
Nelson,2020,2025,55.022551204793444
Oliver,2020,2025,-66.93273704809678
Pembina,2020,2025,-109.13122270722033
Pierce,2020,2025,-24.20111224766606
Ramsey,2020,2025,-335.56006576388336
Ransom,2020,2025,-99.37167456053248
Renville,2020,2025,-27.487051353287598
Richland,2020,2025,-385.9514427899039
Rolette,2020,2025,-637.7762852404067
Sargent,2020,2025,-53.37758873062353
Sheridan,2020,2025,6.747977888267542
Sioux,2020,2025,-249.72698808501127
Slope,2020,2025,-6.014812430404675
Stark,2020,2025,-1711.5197337912941
Steele,2020,2025,-49.76916461878443
Stutsman,2020,2025,-268.59455176745723
Towner,2020,2025,5.345226478760196
Traill,2020,2025,-158.85218964417345
Walsh,2020,2025,-182.29216594056834
Ward,2020,2025,-3124.3694698127947
Wells,2020,2025,8.589998700625756
Williams,2020,2025,-2759.903195918061
Adams,2025,2030,17.943158146849555
Barnes,2025,2030,9.789664464447924
Benson,2025,2030,-355.09689519249923
Billings,2025,2030,-20.266005907848864
Bottineau,2025,2030,-7.892251149733056
Bowman,2025,2030,-29.190334186172322
Burke,2025,2030,-44.57377214420683
Burleigh,2025,2030,-2428.158780569247
Cass,2025,2030,-7574.907353079994
Cavalier,2025,2030,-20.425352694363028
Dickey,2025,2030,-22.221537753716802
Divide,2025,2030,-21.266252868486617
Dunn,2025,2030,-120.38886043183811
Eddy,2025,2030,-19.903056449338692
Emmons,2025,2030,47.98065431620944
Foster,2025,2030,-18.15200405804876
Golden Valley,2025,2030,6.385486040167166
Grand Forks,2025,2030,-2818.7541922146847
Grant,2025,2030,20.00225584688519
Griggs,2025,2030,33.83905030733672
Hettinger,2025,2030,-8.364960957900394
Kidder,2025,2030,-0.7340046998160688
LaMoure,2025,2030,1.6480383983280262
Logan,2025,2030,12.844233635822548
McHenry,2025,2030,-9.643291056947874
McIntosh,2025,2030,76.96866927432234
McKenzie,2025,2030,-1056.062418151946
McLean,2025,2030,-48.576738913790905
Mercer,2025,2030,-48.98350945336824
Morton,2025,2030,-1067.7982784397173
Mountrail,2025,2030,-436.1030710545374
Nelson,2025,2030,58.851358443513845
Oliver,2025,2030,-11.990550437639627
Pembina,2025,2030,23.804857166917373
Pierce,2025,2030,22.12728933428798
Ramsey,2025,2030,-140.86738248405618
Ransom,2025,2030,-47.25893898239383
Renville,2025,2030,-17.457630932658503
Richland,2025,2030,-144.05000361740622
Rolette,2025,2030,-548.2411015904136
Sargent,2025,2030,-8.150502268582613
Sheridan,2025,2030,23.85433930539989
Sioux,2025,2030,-239.67589583318545
Slope,2025,2030,-8.292026502713895
