county,period_start,period_end,migration
Adams,2020,2025,-8.447283410510085
Barnes,2020,2025,-45.05233107921513
Benson,2020,2025,-119.40797877000313
Billings,2020,2025,14.453044915852658
Bottineau,2020,2025,-7.154151678538745
Bowman,2020,2025,-9.510021160139965
Burke,2020,2025,6.645596726800354
Burleigh,2020,2025,1007.3521189601736
Cass,2020,2025,2192.5434670680534
Cavalier,2020,2025,-25.259873325850368
Dickey,2020,2025,-31.837467117819937
Divide,2020,2025,20.687739714713793
Dunn,2020,2025,33.09071040841879
Eddy,2020,2025,-10.131381319191517
Emmons,2020,2025,-20.77338944323234
Foster,2020,2025,-4.691612330123561
Golden Valley,2020,2025,0.41911499515792794
Grand Forks,2020,2025,-2.0702421437652916
Grant,2020,2025,-5.169824433283337
Griggs,2020,2025,4.745365640948402
Hettinger,2020,2025,11.421077857773605
Kidder,2020,2025,-6.610493584232308
LaMoure,2020,2025,-4.67203908284989
Logan,2020,2025,-7.565773941116083
McHenry,2020,2025,-14.343599600762278
McIntosh,2020,2025,-8.903235637191335
McKenzie,2020,2025,946.5954405883867
McLean,2020,2025,29.677001157614463
Mercer,2020,2025,-3.292310128509186
Morton,2020,2025,282.33836833247034
Mountrail,2020,2025,156.76382367662382
Nelson,2020,2025,-11.646911655475243
Oliver,2020,2025,-1.739616157793896
Pembina,2020,2025,-65.89802789128612
Pierce,2020,2025,-21.762549469089826
Ramsey,2020,2025,-53.96628613113077
Ransom,2020,2025,10.85428958467597
Renville,2020,2025,-11.402065668515318
Richland,2020,2025,-56.12369984887812
Rolette,2020,2025,-236.2083605768184
Sargent,2020,2025,-9.295196333487949
Sheridan,2020,2025,-3.579032255713188
Sioux,2020,2025,-73.83162125961067
Slope,2020,2025,1.2540056276749496
Stark,2020,2025,550.315751336194
Steele,2020,2025,-11.123303760566529
Stutsman,2020,2025,-61.62050371806142
Towner,2020,2025,-14.336427280008955
Traill,2020,2025,-22.770076158029376
Walsh,2020,2025,-79.79134221894375
Ward,2020,2025,-15.281880504178787
Wells,2020,2025,-17.989406903881495
Williams,2020,2025,1667.570326404336
