county,age_group,sex,population,year
Adams,0-4,Male,61.0,2020
Barnes,0-4,Male,232.0,2020
Benson,0-4,Male,293.0,2020
Billings,0-4,Male,30.0,2020
Bottineau,0-4,Male,190.0,2020
Bowman,0-4,Male,91.0,2020
Burke,0-4,Male,83.0,2020
Burleigh,0-4,Male,3197.0,2020
Cass,0-4,Male,6236.0,2020
Cavalier,0-4,Male,138.0,2020
Dickey,0-4,Male,155.0,2020
Divide,0-4,Male,90.0,2020
Dunn,0-4,Male,160.0,2020
Eddy,0-4,Male,74.0,2020
Emmons,0-4,Male,78.0,2020
Foster,0-4,Male,95.0,2020
Golden Valley,0-4,Male,56.0,2020
Grand Forks,0-4,Male,2421.0,2020
Grant,0-4,Male,52.0,2020
Griggs,0-4,Male,46.0,2020
Hettinger,0-4,Male,92.0,2020
Kidder,0-4,Male,82.0,2020
LaMoure,0-4,Male,131.0,2020
Logan,0-4,Male,53.0,2020
McHenry,0-4,Male,189.0,2020
McIntosh,0-4,Male,67.0,2020
McKenzie,0-4,Male,683.0,2020
McLean,0-4,Male,251.0,2020
Mercer,0-4,Male,245.0,2020
Morton,0-4,Male,1186.0,2020
Mountrail,0-4,Male,415.0,2020
Nelson,0-4,Male,62.0,2020
Oliver,0-4,Male,72.0,2020
Pembina,0-4,Male,215.0,2020
Pierce,0-4,Male,107.0,2020
Ramsey,0-4,Male,389.0,2020
Ransom,0-4,Male,196.0,2020
Renville,0-4,Male,71.0,2020
Richland,0-4,Male,503.0,2020
Rolette,0-4,Male,516.0,2020
Sargent,0-4,Male,95.0,2020
Sheridan,0-4,Male,31.0,2020
Sioux,0-4,Male,160.0,2020
Slope,0-4,Male,14.0,2020
Stark,0-4,Male,1380.0,2020
Steele,0-4,Male,51.0,2020
Stutsman,0-4,Male,561.0,2020
Towner,0-4,Male,59.0,2020
Traill,0-4,Male,248.0,2020
Walsh,0-4,Male,330.0,2020
Ward,0-4,Male,2604.0,2020
Wells,0-4,Male,96.0,2020
Williams,0-4,Male,1853.0,2020
Adams,5-9,Male,55.0,2020
Barnes,5-9,Male,330.0,2020
Benson,5-9,Male,251.0,2020
Billings,5-9,Male,35.0,2020
Bottineau,5-9,Male,183.0,2020
Bowman,5-9,Male,98.0,2020
Burke,5-9,Male,69.0,2020
Burleigh,5-9,Male,3311.0,2020
Cass,5-9,Male,6180.0,2020
Cavalier,5-9,Male,109.0,2020
Dickey,5-9,Male,177.0,2020
Divide,5-9,Male,50.0,2020
Dunn,5-9,Male,134.0,2020
