state,state_fips,year,population,pop_change,births,deaths,natural_change,intl_migration,domestic_migration,net_migration
Alabama,1,2010,4785514,5396,14202,11077,3125,1053,1225,2278
Alabama,1,2011,4799642,14128,59699,48837,10862,5162,-1903,3259
Alabama,1,2012,4816632,16990,59074,48363,10711,6282,-114,6168
Alabama,1,2013,4831586,14954,57943,50853,7090,5494,2294,7788
Alabama,1,2014,4843737,12151,58914,49720,9194,4159,-996,3163
Alabama,1,2015,4854803,11066,59653,51878,7775,5095,-1553,3542
Alabama,1,2016,4866824,12021,59695,51711,7984,6301,-2148,4153
Alabama,1,2017,4877989,11165,58644,53196,5448,3546,2287,5833
Alabama,1,2018,4891628,13639,58665,54560,4105,3940,5664,9604
Alabama,1,2019,4907965,16337,57251,54038,3213,2293,10828,13121
Alabama,1,2020,5033094,7725,13867,15146,-1279,133,9757,9890
Alabama,1,2021,5049196,16102,57184,69134,-11950,1804,25175,26979
Alabama,1,2022,5076181,26985,58103,67246,-9143,8155,28226,36381
Alabama,1,2023,5117673,41492,58528,60059,-1531,12995,29946,42941
Alabama,1,2024,5157699,40026,57541,59273,-1732,15763,26028,41791
Alaska,2,2010,713982,3736,2902,899,2003,480,1163,1643
Alaska,2,2011,722349,8367,11712,3922,7790,1442,-888,554
Alaska,2,2012,730810,8461,11126,3923,7203,2482,-1324,1158
Alaska,2,2013,737626,6816,11349,4038,7311,2995,-3502,-507
Alaska,2,2014,737075,-551,11447,4007,7440,1343,-9585,-8242
Alaska,2,2015,738430,1355,11347,4337,7010,2417,-8197,-5780
Alaska,2,2016,742575,4145,11284,4426,6858,2442,-5194,-2752
Alaska,2,2017,740983,-1592,10757,4429,6328,2792,-10765,-7973
Alaska,2,2018,736624,-4359,10374,4435,5939,742,-11078,-10336
Alaska,2,2019,733603,-3021,9860,4748,5112,1232,-9355,-8123
Alaska,2,2020,733017,-378,2406,1169,1237,65,-1634,-1569
Alaska,2,2021,734420,1403,9454,5333,4121,873,-3438,-2565
Alaska,2,2022,734442,22,9359,6388,2971,2818,-5832,-3014
Alaska,2,2023,736510,2068,9132,5597,3535,3391,-4886,-1495
Alaska,2,2024,740133,3623,9014,5642,3372,4029,-3774,255
Arizona,4,2010,6407342,15050,20951,11506,9445,2723,3110,5833
Arizona,4,2011,6473416,66074,86097,48173,37924,17104,11042,28146
Arizona,4,2012,6556344,82928,85581,48748,36833,15673,29856,45529
Arizona,4,2013,6634690,78346,86097,50612,35485,18580,24017,42597
Arizona,4,2014,6732873,98183,86129,50241,35888,21867,39905,61772
Arizona,4,2015,6832810,99937,86755,52843,33912,20141,45608,65749
Arizona,4,2016,6944767,111957,84736,56023,28713,20694,62460,83154
Arizona,4,2017,7048088,103321,83156,56320,26836,13662,62648,76310
Arizona,4,2018,7164228,116140,81134,59212,21922,8180,85777,93957
Arizona,4,2019,7291843,127615,81294,61049,20245,11618,95805,107423
Arizona,4,2020,7187135,29025,18110,17991,119,251,30189,30440
Arizona,4,2021,7274078,86943,75693,80277,-4584,8017,83565,91582
Arizona,4,2022,7377566,103488,79173,79806,-633,33411,68790,102201
Arizona,4,2023,7473027,95461,78647,70779,7868,52767,35208,87975
Arizona,4,2024,7582384,109357,78322,68662,9660,64486,34902,99388
Arkansas,5,2010,2921998,5969,9446,7024,2422,880,2460,3340
Arkansas,5,2011,2941038,19040,38430,29439,8991,4010,5983,9993
Arkansas,5,2012,2952876,11838,38609,29715,8894,4017,-1305,2712
Arkansas,5,2013,2960459,7583,37986,30972,7014,2627,-2144,483
Arkansas,5,2014,2968759,8300,38239,29970,8269,3424,-3401,23
Arkansas,5,2015,2979732,10973,38794,31320,7474,3620,-94,3526
Arkansas,5,2016,2991815,12083,38611,31140,7471,3700,943,4643
Arkansas,5,2017,3003855,12040,37694,32328,5366,2503,4170,6673
Arkansas,5,2018,3012161,8306,37587,32797,4790,1052,2449,3501
Arkansas,5,2019,3020985,8824,36604,31465,5139,1668,2028,3696
Arkansas,5,2020,3014546,2993,8509,8466,43,95,2601,2696
Arkansas,5,2021,3026870,12324,34928,40117,-5189,1347,15880,17227
Arkansas,5,2022,3047704,20834,36115,40295,-4180,6177,18873,25050
Arkansas,5,2023,3069463,21759,35298,36414,-1116,4966,17821,22787
Arkansas,5,2024,3088354,18891,35161,35888,-727,6152,13465,19617
California,6,2010,37319550,65028,123328,57317,66011,19063,-19639,-576
California,6,2011,37636311,316761,509748,238381,271367,96569,-50732,45837
California,6,2012,37944551,308240,497428,239541,257887,95561,-41300,54261
