country,latitude,longitude,distance_km,log_distance
Canada,56.1304,-106.3468,1045.9563227597448,6.952686887309205
Other Northern America,56.1304,-106.3468,1045.9563227597448,6.952686887309205
Mexico,23.6345,-102.5528,2668.585813341808,7.889303953151571
Central America,14.6349,-90.5069,3765.1315620979044,8.233538083075784
Caribbean,18.1096,-77.2975,3872.7294370523455,8.261714818322217
Ireland,53.1424,-7.6921,6115.269763057731,8.718544162120882
United Kingdom,55.3781,-3.436,6198.029928460309,8.731986767064708
United Kingdom (inc. Crown Dependencies),55.3781,-3.436,6198.029928460309,8.731986767064708
Norway,60.472,8.4689,6401.2166982305025,8.764243360377835
Denmark,56.2639,9.5018,6758.981547582418,8.818627499045203
Sweden,60.1282,18.6435,6829.685085741226,8.829033843996907
Other Northern Europe,60.1282,18.6435,6829.685085741226,8.829033843996907
Netherlands,52.1326,5.2913,6870.113600874327,8.834935920869247
Other Western Europe,50.5039,4.4699,6950.311778450243,8.846541797761317
Belgium,50.5039,4.4699,6950.311778450243,8.846541797761317
Portugal,39.3999,-8.2245,7022.375439585474,8.85685682148901
France,46.2276,2.2137,7150.834294800763,8.874984313468456
Germany,51.1657,10.4515,7200.730294380277,8.881937729635533
Spain,40.4637,-3.7492,7229.450392765721,8.885918294665224
Latvia,56.8796,24.6032,7328.513822712125,8.899528021624016
Switzerland,46.8182,8.2275,7433.767357331153,8.913788055954166
Lithuania,55.1694,23.8813,7452.202029576655,8.916264842139906
Poland,51.9194,19.1451,7540.206020913519,8.928004784357299
Czech Republic,49.8175,15.473,7551.725933536109,8.929531416586324
Czechoslovakia (includes Czech Republic and Slovakia),49.8175,15.473,7551.725933536109,8.929531416586324
Other Eastern Europe,52.2297,21.0122,7593.683908565255,8.93507211608627
Morocco,31.7917,-7.0926,7668.237832580453,8.94484211993134
Russia (Russian Federation),61.524,105.3188,7675.75523059144,8.945821968994291
Russia,61.524,105.3188,7675.75523059144,8.945821968994291
Cape Verde,16.5388,-23.0418,7693.179177543455,8.948089394172165
Austria,47.5162,14.5501,7700.216078712289,8.949003669618467
Belarus,53.7098,27.9534,7738.225721347657,8.953927705337419
Croatia,45.1,15.2,7936.820230026579,8.979267999221994
Hungary,47.1625,19.5033,7968.428831298147,8.983242617005258
Italy,41.8719,12.5674,8072.315902315228,8.99619569683695
Other Southern Europe,41.8719,12.5674,8072.315902315228,8.99619569683695
Bosnia and Herzegovina,43.9159,17.6791,8163.236293477703,9.007395973924195
Yugoslavia,44.0165,21.0059,8317.132853766152,9.026072865501618
Serbia and Montenegro,44.0165,21.0059,8317.132853766152,9.026072865501618
Romania,45.9432,24.9668,8326.100952936471,9.027150552703809
Moldova,47.4116,28.3699,8336.261950973636,9.02837018756056
Ukraine,48.3794,31.1656,8357.23448550786,9.030882848182394
South America,-14.235,-51.9253,8364.08378427112,9.03170207774741
Albania,41.1533,20.1683,8530.983896587386,9.051459979272098
Other Northern Africa,28.0339,1.6596,8556.893224670219,9.054492462213547
Macedonia,41.5124,21.7453,8577.035498920146,9.056843619832287
Bulgaria,42.7339,25.4858,8643.4301879735,9.064554795506426
Greece,39.0742,21.8243,8800.679261866891,9.082584186335902
Japan,36.2048,138.2529,9049.397293162108,9.110453437035613
Other Eastern Asia,36.2048,138.2529,9049.397293162108,9.110453437035613
Sierra Leone,8.4606,-11.7799,9186.393865991302,9.125478740734605
Kazakhstan,48.0196,66.9237,9313.838251063129,9.139256557175417
Turkey,38.9637,35.2433,9427.456682401624,9.15138163430908
Liberia,6.4281,-9.4295,9528.237627430306,9.162015050630766
"Korea, South",35.9078,127.7669,9588.14417373894,9.168282632335146
South Korea,35.9078,127.7669,9588.14417373894,9.168282632335146
Korea,35.9078,127.7669,9588.14417373894,9.168282632335146
Armenia,40.0691,45.0382,9680.22243303908,9.177840158626358
Other Western Africa,7.54,-5.5471,9726.435282512035,9.182602744487472
Lebanon,33.8547,35.8623,9954.226299062922,9.205752493644997
Syria,34.8021,38.9968,9991.719693352352,9.209511998304666
Uzbekistan,41.3775,64.5853,10011.542146150872,9.21149392099769
Ghana,7.9465,-1.0232,10026.966930031573,9.213033435426492
Israel,31.0461,34.8516,10184.329427495893,9.228605487268657
Jordan,30.5852,36.2384,10292.064504522983,9.239128440824958
Other Western Asia,33.2232,43.6793,10332.648030597858,9.243063872980368
Iraq,33.2232,43.6793,10332.648030597858,9.243063872980368
Egypt,26.8206,30.8025,10397.569713196457,9.249327376398288
China,35.8617,104.1954,10430.884544321758,9.25252635209988
"China, People's Republic",35.8617,104.1954,10430.884544321758,9.25252635209988
Nigeria,9.082,8.6753,10630.716276432599,9.27150285160894
Iran,32.4279,53.688,10743.561279716014,9.282061903389078
Afghanistan,33.9391,67.71,10872.037779137732,9.293949430727235
Kuwait,29.3117,47.4818,10872.662836962721,9.294006921316432
Cameroon,7.3697,12.3547,11035.455992691328,9.308868640237755
Pakistan,30.3753,69.3451,11285.487835542233,9.331272916987418
Saudi Arabia,23.8859,45.0792,11340.048407959184,9.336095846052102
Nepal,28.3949,84.124,11559.813039584093,9.355289969049224
Other South Central Asia,28.3949,84.124,11559.813039584093,9.355289969049224
Bhutan,27.5142,90.4336,11602.166180641922,9.358947099371276
Sudan,12.8628,30.2176,11690.987333513262,9.366573510567113
"Congo, Republic",-0.228,15.8277,11933.222190806855,9.387081570057772
Eritrea,15.1794,39.7823,11979.922485613175,9.390987401332412
Bangladesh,23.685,90.3563,12025.45919436686,9.394781280886605
Philippines,12.8797,121.774,12121.133375555668,9.402705768085879
Burma (Myanmar),21.9162,95.956,12125.942795758136,9.403102469134001
Myanmar,21.9162,95.956,12125.942795758136,9.403102469134001
Burma,21.9162,95.956,12125.942795758136,9.403102469134001
Laos,19.8563,102.4955,12187.884036084066,9.408197625462703
Yemen,15.5527,48.5164,12333.58588334735,9.420081379776764
India,20.5937,78.9629,12437.063263349004,9.428436266345717
Vietnam,14.0583,108.2772,12608.388658783671,9.442117637985456
Ethiopia,9.145,40.4897,12610.611585601646,9.442293927830589
Thailand,15.87,100.9925,12657.611270106396,9.446013994649304
Other South Eastern Asia,15.87,100.9925,12657.611270106396,9.446013994649304
Other Middle Africa,-4.0383,21.7587,12677.94450216603,9.447619109343288
"Congo, Democratic Republic",-4.0383,21.7587,12677.94450216603,9.447619109343288
Democratic Republic of the Congo,-4.0383,21.7587,12677.94450216603,9.447619109343288
Cambodia,12.5657,104.991,12883.442600725555,9.463698246609724
Somalia,5.1521,46.1996,13290.207182443994,9.494782740934461
Kenya,-0.0236,37.9062,13355.555439391494,9.499687715049216
Other Eastern Africa,-6.369,34.8888,13761.97483322561,9.529664621045857
Sri Lanka,7.8731,80.7718,13851.599583143712,9.536155998314417
Malaysia,4.2105,101.9758,13869.52074042685,9.53744895902961
Indonesia,-0.7893,113.9213,13869.544808398774,9.53745069434199
Singapore,1.3521,103.8198,14103.625447660337,9.554187167263104
