state,state_fips,mean_2010s,mean_2020s,shift_magnitude,relative_shift,t_statistic,p_value,cohens_d,n_2010s,n_2020s,significant_at_05,rank,percentile
United States,0,799132.1,1787489.25,988357.15,123.678819809641,1.8735601251259126,0.15311769631067232,1.7366395145516382,10,4,False,1,1.9607843137254901
Florida,12,112102.7,264075.25,151972.55,135.56546809309677,1.8978809376200343,0.14945811640562673,1.7614392089691446,10,4,False,2,3.9215686274509802
California,6,95692.6,233214.5,137521.9,143.71215747090162,1.979093861082716,0.13506355487598318,1.764506150351709,10,4,False,3,5.88235294117647
Texas,48,81499.0,204701.5,123202.5,151.17056651001852,2.0407793437377313,0.12958853346163626,1.8969768480619578,10,4,False,4,7.8431372549019605
New York,36,70120.8,129514.0,59393.2,84.70125839979006,1.49857722352574,0.22470200444884325,1.3491789665744987,10,4,False,5,9.803921568627452
New Jersey,34,30462.2,81571.75,51109.55,167.78023255050522,2.0063999203679854,0.13527021673331951,1.9004614984949784,10,4,False,6,11.76470588235294
Illinois,17,23901.2,69537.25,45636.05,190.9362291433066,2.046556473508747,0.1305242123528313,1.9545950254206772,10,4,False,7,13.725490196078432
Washington,53,23882.8,51546.0,27663.2,115.82896477799925,1.8470870321968298,0.1568948382880145,1.7010347915251298,10,4,False,8,15.686274509803921
North Carolina,37,17530.7,45144.75,27614.05,157.5182394313975,2.110997304067968,0.12178236824893487,1.9895754034558442,10,4,False,9,17.647058823529413
Massachusetts,25,36615.5,63548.5,26933.0,73.55628081003947,1.6279764484339703,0.19406066267682454,1.4321752434294595,10,4,False,10,19.607843137254903
Arizona,4,15024.2,39670.25,24646.05,164.04234501670635,1.9727323024944823,0.13875925762897706,1.8358968974091783,10,4,False,11,21.568627450980394
Georgia,13,19774.1,42455.0,22680.9,114.70003691697728,1.9368030451785783,0.13926505005872733,1.6832642943973382,10,4,False,12,23.52941176470588
Ohio,39,18414.1,40939.25,22525.15,122.32555487371093,1.9325401539033173,0.14285105390956615,1.7539344315910252,10,4,False,13,25.49019607843137
Pennsylvania,42,27804.2,49568.5,21764.3,78.27702289582149,1.3311614395885099,0.26899265828754976,1.1908169492206384,10,4,False,14,27.450980392156865
Michigan,26,19346.5,41014.0,21667.5,111.99700204171296,1.5983417424132522,0.2028139277885701,1.4593226448056653,10,4,False,15,29.411764705882355
Maryland,24,20635.3,38419.5,17784.2,86.18338478238748,1.7502368595772577,0.17198554495826318,1.5775587086165532,10,4,False,16,31.372549019607842
Nevada,32,3157.9,17837.75,14679.85,464.8611418980968,2.0345124225440405,0.13302734251729809,1.9743249212413756,10,4,False,17,33.33333333333333
Utah,49,4804.9,19446.5,14641.6,304.7222626901705,2.1079115001435134,0.12332936381618276,2.0258646779783582,10,4,False,18,35.294117647058826
Indiana,18,10028.8,22060.0,12031.2,119.96649649010851,2.156411720439649,0.11325097423430637,1.9298920779322613,10,4,False,19,37.254901960784316
Kentucky,21,5620.9,17623.75,12002.85,213.53964667579928,1.7461730834788474,0.17598965290894653,1.6560432884860412,10,4,False,20,39.21568627450981
Virginia,51,28150.7,39511.75,11361.05,40.357966231745564,1.1883616262872,0.3024024483573618,0.8861217275068106,10,4,False,21,41.17647058823529
Colorado,8,9485.7,20705.5,11219.8,118.28120223072622,1.7341336918104757,0.1752955568822716,1.5719457972258875,10,4,False,22,43.13725490196079
Tennessee,47,8051.2,18232.5,10181.3,126.45692567567568,1.883532458364568,0.15005254507724344,1.7057935708577754,10,4,False,23,45.09803921568628
Connecticut,9,13696.6,23688.0,9991.4,72.94803089817911,1.5013358161524557,0.22119843232627348,1.2954927435386303,10,4,False,24,47.05882352941176
Louisiana,22,5169.6,14729.75,9560.15,184.93016867842772,2.181474953700987,0.11404183316726922,2.0657896565742404,10,4,False,25,49.01960784313725
Wisconsin,55,6409.5,15818.75,9409.25,146.8016225914658,2.1594083242572166,0.11391969665904902,1.9625447402578189,10,4,False,26,50.98039215686274
South Carolina,45,5844.6,15087.75,9243.15,158.148547377066,2.198640826791602,0.11134498844423522,2.0535707862811337,10,4,False,27,52.94117647058824
Minnesota,27,11863.9,20199.0,8335.1,70.25598664857256,1.5619074268100195,0.20578041010636827,1.323971578906221,10,4,False,28,54.90196078431373
Missouri,29,6909.0,14662.0,7753.0,112.21595020987118,1.7589403770712084,0.17246177988452044,1.6356370158380538,10,4,False,29,56.86274509803921
Oregon,41,6094.9,13225.75,7130.85,116.99699748970451,1.4115011975089438,0.24386803812460936,1.2135582594267147,10,4,False,30,58.82352941176471
Iowa,19,5447.9,12398.5,6950.6,127.58310541676612,1.982160247423724,0.13650812439171423,1.8176324221802982,10,4,False,31,60.78431372549019
Alabama,1,4332.5,9679.25,5346.75,123.41027120600114,1.7210510535481078,0.17832757639053803,1.574614431493157,10,4,False,32,62.745098039215684
Kansas,20,5258.7,10501.0,5242.3,99.68813585106587,1.3291593180382248,0.26883956726045705,1.1749207662620413,10,4,False,33,64.70588235294117
Nebraska,31,3540.1,8309.0,4768.9,134.71088387333688,1.8936012636378086,0.14756483184332628,1.6910125803388483,10,4,False,34,66.66666666666666
New Mexico,35,2975.0,7492.5,4517.5,151.84873949579833,2.013819180180338,0.12938735491287903,1.769721589654614,10,4,False,35,68.62745098039215
Oklahoma,40,5863.1,10158.75,4295.65,73.26584912418345,1.5241379866232188,0.2126378525088271,1.259383722754177,10,4,False,36,70.58823529411765
Idaho,16,1733.9,5492.75,3758.85,216.78585846934655,2.2580612878873585,0.10146787782675457,1.9891951553462996,10,4,False,37,72.54901960784314
Rhode Island,44,3544.5,6698.25,3153.75,88.97587812103258,1.6155693356821024,0.1968195714853811,1.4244610065291203,10,4,False,38,74.50980392156863
